id,name,mode,source,license_declarada,conteudo_local_no_pacote,modo_de_distribuicao,verificacao_juridica,observacao
rede_hidrica,Rede hídrica,arcgis,"PIN MS, AGRAER e ANA",Consultar licença ou termos da instituição responsável,não,"visualização, captura ou download a partir de fonte remota",não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,embedded,Banco de Referências Culturais do IPHAN,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
sitios_arqueologicos_pontos,Sítios arqueológicos,arcgis,IPHAN sincronizado pelo PAMGIA IBAMA,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
sitios_arqueologicos_poligonos,Delimitações arqueológicas,arcgis,IPHAN sincronizado pelo PAMGIA IBAMA,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
escolas,Escolas · Censo Escolar INEP 2025,external,INEP Censo Escolar 2025,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",overpass,"Captura espacial OpenStreetMap. Validação institucional por e-MEC, UFMS, UEMS, UFGD e IFMS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,embedded,Levantamento do projeto,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,embedded,Serviço Geológico do Brasil. Registros com status Em análise na data de corte,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,embedded,"Governo de Mato Grosso do Sul. Anexo I do Decreto Estadual nº 12.897/2009. 54 registros documentais, 40 pontos georreferenciados e 14 geometrias pendentes",CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,arcgis,"Serviço Geológico do Brasil, unidades litoestratigráficas do mapeamento estadual 1:1.000.000 [2006]",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,arcgis,"Serviço Geológico do Brasil. Recorte vetorial do Atlas Hidrogeológico e referência ao mapa estadual 2024, escala 1:1.000.000",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
sistema_aquifero_guarani_ana,Sistema Aquífero Guarani — ANA/SNIRH,arcgis,ANA e CPRM. Sistemas aquíferos do Brasil — feições do Sistema Aquífero Guarani filtradas no serviço oficial SNIRH,Consultar termos de uso da ANA/SNIRH,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_geomorfologico_ibge,Geomorfologia 1:250.000 — IBGE BDiA,external,IBGE BDiA. Base vetorial oficial de Geomorfologia 1:250.000. Referência/download; o recorte de Mato Grosso do Sul ainda não está incorporado como camada local.,Consultar termos do IBGE,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_altimetria_ms,Mapa de altimetria e hipsometria,arcgisMap,SEMADESC e PIN MS. Altimetria de Mato Grosso do Sul,Consultar licença ou termos da instituição responsável,não,"visualização, captura ou download a partir de fonte remota",não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_declividade_topodata,TOPODATA — variáveis geomorfométricas e formas do terreno,external,INPE TOPODATA. Referência oficial para declividade e variáveis geomorfométricas derivadas do SRTM.,Consultar termos do INPE,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_declividade_ms_nasadem,Declividade do terreno — NASADEM/PIN MS,external,IMASUL/PIN MS. Raster oficial de declividade NASADEM para Mato Grosso do Sul,Consultar termos do PIN MS/IMASUL,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,arcgisMap,Serviço Geológico do Brasil. Ocorrências minerais do GeoSGB,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,embedded,Proposta histórica SGB CPRM e levantamento do projeto,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,embedded,"Decreto Estadual nº 12.897/2009, GEOSSIT, SIGEP e fontes técnicas declaradas",CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
festividades_inventario_2026,"Festividades — snapshot legado PEIC (15 registros, 06/08/2026)",embedded,Inventário documental com data de corte em 6 de agosto de 2026,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
festas_recorrentes_inventario_2026,"Festas, festivais e celebrações recorrentes — 108 registros",embedded,Levantamento sistemático Atlas MS em fontes oficiais das 79 prefeituras e fontes institucionais complementares. Data de corte: 8 de agosto de 2026.,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,embedded,"Projeto de pesquisa científica. Fontes específicas por registro. A seleção e a geometria comparativa são autorais, revisáveis e não aprovadas pelo PRICI","CC BY 4.0 para a composição, atributos e geometria autorais; bases documentais mantêm seus termos originais",sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
pontos_interesse_itinerarios,Pontos de interesse para itinerários,embedded,"Integração local de patrimônio, geodiversidade, festividades, fronteira e memória histórica",CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — snapshot oficial de maio de 2026,embedded,IPHAN. Planilha oficial 2026_05_IPHAN_T.xlsx. Registros ativos de Mato Grosso do Sul posicionados na sede municipal quando a fonte não oferece coordenada,Conteúdo institucional conforme termos do portal gov.br; compilação espacial e metadados autorais sob CC BY 4.0,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,overpass,"Fundação de Cultura de Mato Grosso do Sul, guias e inventários patrimoniais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,tainacan,"IBRAM. Cadastro Nacional de Museus na Plataforma MuseusBr, coleção pública Tainacan. O atlas retém somente campos institucionais necessários e não reproduz contatos pessoais.",Dados abertos MuseusBr; preservar atribuição ao IBRAM e o status de verificação de cada registro.,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",overpass,Captura espacial OpenStreetMap. Validação pelo SNBP e Sistema Estadual de Bibliotecas de MS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",overpass,Mapa da Cultura e Mapa Cultural de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
unidades_conservacao,Unidades de conservação — CNUC,wfs,"CNUC/MMA. Captura oficial por WFS do ICMBio/INDE, com recorte espacial de Mato Grosso do Sul e espelho PAMGIA como contingência.","Creative Commons Atribuição no recurso CNUC. Preservar atribuição, metadados e termos da fonte.",sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,arcgis,"CNUC, MMA, ICMBio e PAMGIA IBAMA. Recorte filtrado da unidade federal",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",arcgisMap,SEMADESC e PIN MS. Sub-bacias do Paraguai e Paraná e UEPGRH,Consultar licença ou termos da instituição responsável,não,"visualização, captura ou download a partir de fonte remota",não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,arcgisMap,SEMADESC e PIN MS. Disponibilidade hídrica superficial e água disponível no solo,Consultar licença ou termos da instituição responsável,não,"visualização, captura ou download a partir de fonte remota",não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,external,"ANA/SNIRH — Estações de Qualidade de Água, serviço oficial de dados abertos",Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",arcgisMap,IBAMA PAMGIA e INPE Programa Queimadas. Focos atualizados e acesso a risco e áreas queimadas,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mapa_climatico_ms,"Mapa climático, precipitação e temperatura",external,"CEMTEC MS e INMET. Estações, séries meteorológicas e produtos climáticos",Consultar licença ou termos da instituição responsável,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,wfs,"CANIE/CECAV/ICMBio. Captura oficial por WFS do ICMBio/INDE, com recorte de Mato Grosso do Sul e espelho Infra S.A. como contingência.","Reutilização permitida com citação da fonte CANIE, conforme instruções do CECAV. Preservar limitações e metadados.",sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,external,ANA/SNISB — cadastro oficial de barragens,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",overpass,"ICMBio, IMASUL e planos de manejo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,arcgisMap,IBAMA. Serviço histórico de focos no Pantanal e referência ao Pantanal em Alerta,Consultar licença ou termos da instituição responsável,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
pib_municipal_2021,PIB municipal — último período disponível no IBGE,ibgeChoropleth,"IBGE, Produto Interno Bruto dos Municípios. API SIDRA pública.",Consultar termos do IBGE,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
pib_per_capita_2021,PIB per capita — último período disponível no IBGE,ibgeChoropleth,"IBGE, Produto Interno Bruto dos Municípios. API SIDRA pública.",Consultar termos do IBGE,não,"visualização, captura ou download a partir de fonte remota",não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
estabelecimentos_agropecuarios,Agropecuária — estabelecimentos com área,external,SEMADESC/PIN MS. Número municipal de estabelecimentos agropecuários com área. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
area_colhida_municipal,Agropecuária — área colhida,external,"SEMADESC/PIN MS. Área colhida municipal, em hectares. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rebanho_bovino_municipal,Pecuária — bovinos,external,"SEMADESC/PIN MS. Rebanho bovino por município, cabeças. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rebanho_aves_municipal,Pecuária — aves,external,"SEMADESC/PIN MS. Plantel de aves por município, cabeças. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
rebanho_suideos_municipal,Pecuária — suídeos,external,"SEMADESC/PIN MS. Rebanho suídeo por município, cabeças. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
siga_ms_safras_2023_2024,Uso produtivo do solo — SIGA MS Safras 2023–2024,external,"SEMADESC/PIN MS. SIGA MS Safras 2023–2024: soja, milho, cana, algodão, eucalipto, pastagens e outros usos produtivos. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,sim,cópia local ou produto derivado incluído no pacote,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
usinas_sucroalcooleiras_ms,Agroindústria — usinas sucroalcooleiras,external,SEMADESC/PIN MS. Usinas sucroalcooleiras. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
frigorificos_ms,Agroindústria — frigoríficos,external,SEMADESC/PIN MS. Frigoríficos de Mato Grosso do Sul. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
papel_celulose_ms,Indústria — papel e celulose,external,SEMADESC/PIN MS. Empreendimentos de papel e celulose. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
mineradoras_economia_ms,Economia mineral — mineradoras,external,SEMADESC/PIN MS. Mineradoras e substâncias minerais cadastradas na base estadual. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
esmagadoras_soja_ms,Agroindústria — esmagadoras de soja,external,SEMADESC/PIN MS. Unidades de esmagamento de soja. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
biocombustiveis_ms,Indústria — biocombustíveis,external,SEMADESC/PIN MS. Empreendimentos de biocombustíveis. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
industria_quimica_ms,Indústria — química,external,SEMADESC/PIN MS. Empreendimentos da indústria química. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.,Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
alimentos_bebidas_fecularias_ms,"Indústria — alimentos, bebidas e fecularias",external,"SEMADESC/PIN MS. Empreendimentos de alimentos, bebidas e fecularias. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
empreendimentos_florestais_ms,Silvicultura e indústria florestal — empreendimentos,external,"SEMADESC/PIN MS. Empreendimentos florestais, com município, situação e produção. O serviço geográfico do PIN MS exige autenticação no acesso atual; o Atlas mantém o vínculo sem simular uma captura.",Consultar termos do PIN MS/SEMADESC,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
comexstat_municipios,Comércio exterior municipal — Comex Stat/MDIC,external,"MDIC/SECEX. Exportações e importações por município. A referência municipal corresponde ao domicílio fiscal da empresa, não ao local físico de produção.",Consultar termos do MDIC/SECEX,não,referência ou importação externa,não verificada juridicamente neste release,A licença declarada e a proveniência devem ser conferidas na fonte primária antes de redistribuição externa.
