id,name,group,mode,kind,local_file,records,no_geometry,outside_r5,bad_geometry,dataStatus,source_id
geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,geodiversidade,embedded,local-vector,dados/geossitios_decreto_12897_2009.js,54,14,0,0,incorporada no pacote,SRC-3024980f7582080f
mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,geodiversidade,arcgis,local-vector,dados/materializados/2026_08_10/mapa_geologico_ms.js,870,0,8,0,capturável sob demanda,SRC-fd9f99d599d8c345
mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,geodiversidade,arcgis,local-vector,dados/materializados/2026_08_10/mapa_hidrogeologico_ms.js,391,0,185,0,capturável sob demanda,SRC-2c96109633f002bd
sistema_aquifero_guarani_ana,Sistema Aquífero Guarani — ANA/SNIRH,geodiversidade,arcgis,local-vector,dados/materializados/2026_08_10/sistema_aquifero_guarani_ana.js,1,0,0,0,capturável sob demanda,SRC-ea74cace796cdf2e
mapa_geomorfologico_ibge,Geomorfologia 1:250.000 — IBGE BDiA,geodiversidade,external,reference-only,,,,,,referência externa — recorte MS pendente,SRC-7b4ab538244e0ec5
mapa_altimetria_ms,Mapa de altimetria e hipsometria,geodiversidade,arcgisMap,direct-remote-visual,,,,,,captura vetorial prioritária para snapshot local,SRC-e6a5b00985089c6a
mapa_declividade_topodata,TOPODATA — variáveis geomorfométricas e formas do terreno,geodiversidade,external,reference-only,,,,,,referência/download externo,SRC-499f9f48e7490c32
mapa_declividade_ms_nasadem,Declividade do terreno — NASADEM/PIN MS,geodiversidade,external,local-raster,dados/materializados/2026_08_10/mapa_declividade_ms_nasadem.png,raster,,,,referência externa — serviço PIN MS requer autenticação no acesso atual,SRC-e1647aa19aa946e9
mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,geodiversidade,arcgisMap,local-vector,dados/materializados/2026_08_10/mapa_recursos_minerais_ms.js,279,0,57,0,visualização dinâmica,SRC-31679404a4e77dfc
lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,embedded,local-vector,dados/lugares_interesse_geologico_propostos.js,38,0,0,0,incorporada no pacote,SRC-18d415dbe3e8609b
geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,embedded,local-vector,dados/geossitios_compilados_niveis_precisao.js,48,0,0,0,incorporada no pacote,SRC-ee099f8dca5e3fd4
festividades_inventario_2026,"Festividades — snapshot legado PEIC (15 registros, 06/08/2026)",eventos,embedded,local-vector,dados/festividades_inventario_2026.js,15,0,0,0,incorporada no pacote,SRC-6ff3136c2eaf5ec6
festas_recorrentes_inventario_2026,"Festas, festivais e celebrações recorrentes — 108 registros",eventos,embedded,local-vector,dados/festas_recorrentes_inventario_2026.js,108,0,0,0,108 celebrações recorrentes incorporadas; entrada corrente da dimensão de festividades do PEIC dev,SRC-1f35f6fbe52e5bff
rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,embedded,local-vector,dados/rotas_culturais_propostas.js,32,0,0,0,incorporada no pacote,SRC-fcd7ca8fba726c6a
pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,embedded,local-vector,dados/pontos_interesse_itinerarios.js,83,0,0,0,incorporada no pacote,SRC-aebc4dd563507715
patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — snapshot oficial de maio de 2026,cultura,embedded,local-vector,dados/patrimonio_material_tombado.js,8,0,0,0,"incorporada no pacote, 8 registros ativos",SRC-793f05e7c109f0e7
patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,cultura,overpass,local-vector,dados/materializados/2026_08_10/patrimonio_estadual_estacoes_ferroviarias.js,42,0,22,0,captura preliminar sujeita a validação,SRC-1bf66f9164e6c713
museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,cultura,tainacan,local-vector,dados/materializados/2026_08_10/museus_pontos_memoria.js,60,0,0,0,capturável sob demanda e importável manualmente,SRC-9566cdc4260bf30f
bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",cultura,overpass,local-vector,dados/materializados/2026_08_10/bibliotecas_arquivos.js,119,0,86,0,captura preliminar sujeita a validação,SRC-9c4acd973221042a
espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",cultura,overpass,local-vector,dados/materializados/2026_08_10/espacos_culturais.js,329,0,248,0,captura preliminar sujeita a validação,SRC-ea7a5e0796d294f0
unidades_conservacao,Unidades de conservação — CNUC,ambiente,wfs,local-vector,dados/materializados/2026_08_10/unidades_conservacao.js,8,0,3,0,capturável sob demanda,SRC-8653ed971a0cf32e
parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,ambiente,arcgis,local-vector,dados/materializados/2026_08_10/parque_nacional_serra_bodoquena.js,1,0,0,0,capturável sob demanda,SRC-a91ac339841809aa
mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",ambiente,arcgisMap,direct-remote-visual,,,,,,captura vetorial prioritária para snapshot local,SRC-31d6fe056a5d193d
mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,ambiente,arcgisMap,direct-remote-visual,,,,,,captura vetorial prioritária para snapshot local,SRC-3587a44aaa06ed89
mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,ambiente,external,local-vector,dados/materializados/2026_08_10/mapa_qualidade_agua_ana.js,86,0,35,0,captura vetorial oficial ANA/SNIRH,SRC-5cfac6cd14d93c45
mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",ambiente,arcgisMap,local-raster,dados/materializados/2026_08_10/mapa_focos_calor_risco.png,raster,,,,visualização dinâmica,SRC-7be24933e0af60cf
mapa_climatico_ms,"Mapa climático, precipitação e temperatura",ambiente,external,reference-only,,,,,,consulta externa,SRC-1ecd0ebb50bfd75d
cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,ambiente,wfs,local-vector,dados/materializados/2026_08_10/cavernas_canie.js,341,0,38,0,capturável sob demanda,SRC-c4ab8a0b59d5d30d
barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,ambiente,external,local-raster,dados/materializados/2026_08_10/barragens_snisb.png,raster,,,,materializável em snapshot local,SRC-090515f3206e0712
centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",ambiente,overpass,local-vector,dados/materializados/2026_08_10/centros_visitantes_trilhas.js,56,0,42,0,captura preliminar sujeita a validação,SRC-f006c76820310201
pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,ambiente,arcgisMap,local-raster,dados/materializados/2026_08_10/pantanal_monitoramento_fogo.png,raster,,,,visualização dinâmica,SRC-a0471f6b0dcdb239
pib_municipal_2021,PIB municipal — último período disponível no IBGE,economia,ibgeChoropleth,local-vector,dados/materializados/2026_08_10/pib_municipal_2021.js,79,0,0,0,capturável sob demanda sem token,SRC-610bca5f44b228ce
pib_per_capita_2021,PIB per capita — último período disponível no IBGE,economia,ibgeChoropleth,remote-capture,,,,,,capturável sob demanda sem token,SRC-6fca65ab1c903660
estabelecimentos_agropecuarios,Agropecuária — estabelecimentos com área,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-804f7ffb4101e03a
area_colhida_municipal,Agropecuária — área colhida,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-1a7d255ab0ac32c8
rebanho_bovino_municipal,Pecuária — bovinos,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-ebfb4ecd7464db70
rebanho_aves_municipal,Pecuária — aves,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-ddecba129a2ee953
rebanho_suideos_municipal,Pecuária — suídeos,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-0879e29ad1084d37
siga_ms_safras_2023_2024,Uso produtivo do solo — SIGA MS Safras 2023–2024,economia,external,local-vector,dados/materializados/2026_08_10/siga_ms_safras_2023_2024.js,1510,0,0,0,referência externa — serviço PIN MS atualmente requer autenticação,SRC-d54a8523b4b2be3f
usinas_sucroalcooleiras_ms,Agroindústria — usinas sucroalcooleiras,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-08fa85ccb57f8988
frigorificos_ms,Agroindústria — frigoríficos,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-1df965cfe7ef7561
papel_celulose_ms,Indústria — papel e celulose,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-683934cad61f55a0
mineradoras_economia_ms,Economia mineral — mineradoras,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-fcf716734ee30bc2
esmagadoras_soja_ms,Agroindústria — esmagadoras de soja,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-2598c7b5d98fcb4a
biocombustiveis_ms,Indústria — biocombustíveis,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-8d125293da1c5821
industria_quimica_ms,Indústria — química,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-759e150c931dcec5
alimentos_bebidas_fecularias_ms,"Indústria — alimentos, bebidas e fecularias",economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-333f25edd04c8c6e
empreendimentos_florestais_ms,Silvicultura e indústria florestal — empreendimentos,economia,external,reference-only,,,,,,captura vetorial prioritária para snapshot local,SRC-3dfe49629fdc998e
comexstat_municipios,Comércio exterior municipal — Comex Stat/MDIC,economia,external,reference-only,,,,,,materializável por município a partir dos CSV oficiais de 2026,SRC-0cdb8026ae884bf1
rais_novo_caged,Emprego formal — RAIS e Novo Caged,economia,external,reference-only,,,,,,referência externa — atualização periódica,SRC-b5ca06a7d58a9723
cfem_municipios,Economia mineral — CFEM por município,economia,external,local-vector,dados/materializados/2026_08_10/cfem_municipios.js,54,0,0,0,materializável por município a partir do CSV oficial ANM 2022–2026,SRC-e489354fc9d9e3b1
pncp_contratacoes_investimento,Contratações e investimento público — PNCP,economia,external,reference-only,,,,,,referência externa — integração futura,SRC-3d1892cc141e31e2
sidra_pam_ppm_pevs,"IBGE SIDRA — PAM, PPM e PEVS",economia,external,reference-only,,,,,,referência externa — atualização segundo calendário IBGE,SRC-e9539118d2466330
vab_agropecuaria_ibge,VAB da agropecuária — último período IBGE,economia,ibgeChoropleth,remote-capture,,,,,,capturável sob demanda sem token,SRC-efa35a212079eff0
vab_industria_ibge,VAB da indústria — último período IBGE,economia,ibgeChoropleth,remote-capture,,,,,,capturável sob demanda sem token,SRC-9716a8fc338b0cbb
vab_servicos_ibge,VAB dos serviços — último período IBGE,economia,ibgeChoropleth,remote-capture,,,,,,capturável sob demanda sem token,SRC-e9a1f61639264af1
vab_administracao_publica_ibge,VAB da administração pública — último período IBGE,economia,ibgeChoropleth,remote-capture,,,,,,capturável sob demanda sem token,SRC-f6c9ce9ca3d1118c
cadastur_hospedagem,Meios de hospedagem — Cadastur oficial por município,turismo,ckan,local-vector,dados/materializados/2026_08_10/cadastur_hospedagem.js,42,0,0,0,capturável sob demanda e importável manualmente,SRC-d12afc03590845ff
cadastur_alimentacao,"Restaurantes, cafeterias e bares — Cadastur oficial por município",turismo,ckan,remote-capture,,,,,,capturável sob demanda e importável manualmente,SRC-MTUR-CADASTUR-ALIMENTACAO-2026
cadastur_agencias_guias,"Cadastur oficial — agências, guias e transportadoras por município",turismo,ckan,local-vector,dados/materializados/2026_08_10/cadastur_agencias_guias.js,59,0,0,0,capturável sob demanda e importável manualmente,SRC-3c13f3f6fcb82ade
centros_atendimento_turista,Centros e pontos de atendimento ao turista — FUNDTUR MS · corte 09/08/2026,turismo,embedded,local-vector,dados/centros_atendimento_turista.js,7,0,0,0,incorporada no pacote · corte 09/08/2026,SRC-FUNDTUR-CAT-20260809
turismo_rural_comunitario,"Referências cartográficas preliminares — Turismo rural, comunitário e propriedades de visitação",turismo,overpass,local-vector,dados/materializados/2026_08_10/turismo_rural_comunitario.js,306,0,200,0,captura preliminar sujeita a validação,SRC-4a807374efba4b01
regioes_municipios_turisticos,Regiões e municípios do Mapa do Turismo Brasileiro,turismo,external,reference-only,,,,,,consulta externa,SRC-ed8eef5c0117a81f
ferrovias_operacao,Ferrovias concedidas em operação,mobilidade,arcgis,local-vector,dados/materializados/2026_08_10/ferrovias_operacao.js,98,0,56,0,capturável sob demanda,SRC-3ca8abf70529691b
terminais_ferroviarios,Terminais e pátios ferroviários,mobilidade,arcgis,local-vector,dados/materializados/2026_08_10/terminais_ferroviarios.js,28,0,23,0,capturável sob demanda,SRC-d59cd7bd6166424e
instalacoes_portuarias,"Portos, terminais e instalações portuárias",mobilidade,arcgis,local-vector,dados/materializados/2026_08_10/instalacoes_portuarias.js,4,0,0,0,capturável sob demanda,SRC-44cca7e4772e6136
hidrovia_paraguai_ven_antaq,Hidrovia do Paraguai e vias economicamente navegadas — ANTAQ,mobilidade,officialzip,local-vector,dados/materializados/2026_08_10/hidrovia_paraguai_ven_antaq.js,36,0,9,0,capturável sob demanda e importável manualmente,SRC-49c6867c754ac806
aeroportos_aerodromos,Aeroportos e aeródromos,mobilidade,arcgis,local-vector,dados/materializados/2026_08_10/aeroportos_aerodromos.js,41,0,21,0,capturável sob demanda,SRC-435df510a2fc7b25
terminais_rodoviarios,Referências cartográficas preliminares — Estações e terminais rodoviários municipais,mobilidade,overpass,local-vector,dados/materializados/2026_08_10/terminais_rodoviarios.js,292,0,211,0,captura preliminar sujeita a validação,SRC-942c50455acbde10
terminais_rodoviarios_fronteiras,"Referências cartográficas preliminares — Pontes, passagens e pontos de fronteira",mobilidade,overpass,local-vector,dados/materializados/2026_08_10/terminais_rodoviarios_fronteiras.js,15,0,8,0,captura preliminar sujeita a validação,SRC-188fc0664f475271
condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,external,reference-only,,,,,,consulta externa,SRC-a884f8656c775b95
concessoes_rodoviarias,Concessões rodoviárias e operação,mobilidade,arcgis,local-vector,dados/materializados/2026_08_10/concessoes_rodoviarias.js,209,0,75,0,capturável sob demanda,SRC-74eac2d609c51da0
mapa_solos_ms,Mapa de solos de Mato Grosso do Sul 1:250.000,paisagem,arcgisMap,local-vector,dados/materializados/2026_08_10/mapa_solos_ms.js,1851,0,7,0,visualização dinâmica,SRC-b11456e33ed7cf98
mapa_fragilidade_ambiental_zae,Mapa de fragilidade ambiental,paisagem,external,reference-only,,,,,,consulta externa,SRC-ce7ad8fa1ae9913d
mapa_vegetacao_original_radam,Mapa de vegetação original RADAM,paisagem,arcgisMap,local-vector,dados/materializados/2026_08_10/mapa_vegetacao_original_radam.js,7190,0,3,0,visualização dinâmica,SRC-88718c3524c9a7f8
uso_cobertura_solo,MapBiomas 10.1 — cobertura e uso da terra por município,paisagem,officialxlsx,remote-capture,,,,,,capturável sob demanda e importável manualmente,SRC-38cdb9feb2860b3f
mapa_mudancas_uso_solo,MapBiomas 10.1 — desmatamento e vegetação secundária,paisagem,officialxlsx,local-vector,dados/materializados/2026_08_10/mapa_mudancas_uso_solo.js,1,0,0,0,capturável sob demanda e importável manualmente,SRC-111cbfb6e08341c4
mapa_macrozoneamento_zae,Macrozoneamento de solos e apoio ao ZAE,paisagem,arcgisMap,direct-remote-visual,,,,,,captura vetorial prioritária para snapshot local,SRC-f178695dcdf2f21a
mapa_zoneamento_agroecologico_ms,Zoneamento Agroecológico de Mato Grosso do Sul,paisagem,external,reference-only,,,,,,consulta externa,SRC-1a8eff2066b47e6e
areas_exploratorias_influencia_cartografica,Áreas exploratórias de influência cartográfica,paisagem,embedded,local-vector,dados/areas_exploratorias_influencia_cartografica.js,32,0,0,0,incorporada no pacote,SRC-ffa5f6efba4ae3e3
artesanato_producao_tradicional,Referências cartográficas preliminares — Artesanato e produção tradicional,paisagem,overpass,local-vector,dados/materializados/2026_08_10/artesanato_producao_tradicional.js,194,0,136,0,captura preliminar sujeita a validação,SRC-91e52cc8c283627a
gastronomia_mercados_feiras,"Gastronomia identitária, feiras, mercados e artesanato — referências preliminares",turismo,overpass,local-vector,dados/materializados/2026_08_10/gastronomia_mercados_feiras.js,315,0,225,0,captura preliminar sujeita a validação,SRC-a8e9921b01cc3140
unidades_saude,Estabelecimentos de saúde ativos — CNES oficial,apoio,cnesApi,local-vector,dados/materializados/2026_08_10/unidades_saude.js,20,0,0,0,capturável sob demanda no modo Pesquisa,SRC-MS-CNES-API-20260809
bombeiros_seguranca,"Referências cartográficas preliminares — Bombeiros, polícia e pontos de segurança",apoio,overpass,local-vector,dados/materializados/2026_08_10/bombeiros_seguranca.js,686,0,547,0,captura preliminar sujeita a validação,SRC-f40297624e336079
postos_combustivel_anp,Postos revendedores de combustíveis autorizados — ANP por município,apoio,external,local-vector,dados/materializados/2026_08_10/postos_combustivel_anp.js,79,0,0,0,download oficial e importação manual segura · requer importação antes da ativação,SRC-ANP-POSTOS-MS-20260809
combustivel_oficinas_descanso,Oficinas e áreas de descanso — referências cartográficas preliminares,apoio,overpass,local-vector,dados/materializados/2026_08_10/combustivel_oficinas_descanso.js,285,0,236,0,captura preliminar sujeita a validação,SRC-b6d3f0192eb216bd
acessibilidade_servicos,"Referências cartográficas preliminares — Acessibilidade, banheiros, água e serviços ao visitante",apoio,overpass,local-vector,dados/materializados/2026_08_10/acessibilidade_servicos.js,2273,0,1874,0,captura preliminar sujeita a validação,SRC-491fd8c795d338e0
cobertura_telefonia_movel,"Cobertura de telefonia móvel 2G, 3G, 4G e 5G",apoio,external,reference-only,,,,,,consulta externa,SRC-7dd98ad89d5ef617
indice_exploratorio_disponibilidade_territorial,Índice exploratório de disponibilidade territorial e documental,analise,embedded,local-vector,dados/indice_exploratorio_disponibilidade_territorial.js,79,0,0,0,incorporada no pacote,SRC-d90600be437c9c21
trechos_itinerarios,Trechos esquemáticos derivados das propostas metodológicas,analise,embedded,local-vector,dados/trechos_itinerarios.js,141,0,0,0,incorporada no pacote,SRC-d28de42a41c19996
pre_avaliacao_cartografica_itinerarios,Pré-avaliação cartográfica descritiva dos itinerários,analise,embedded,local-vector,dados/pre_avaliacao_cartografica_itinerarios.js,32,0,1,0,incorporada no pacote,SRC-f92d2185f70192b0
mapa_zee_ms,Zoneamento Ecológico Econômico de Mato Grosso do Sul,analise,arcgisMap,local-vector,dados/materializados/2026_08_10/mapa_zee_ms.js,10,0,0,0,visualização dinâmica,SRC-874287a8e1e6b7c6
vulnerabilidade_territorial_censo_2022,Vulnerabilidade territorial — índice em desenho metodológico,analise,external,reference-only,,,,,,"referência metodológica, sem geometria publicada nesta fase",SRC-1e15c25c7e5b56af
populacao_censo_2022_ms,População municipal — Censo 2022,analise,ibgeChoropleth,local-vector,dados/materializados/2026_08_10/populacao_censo_2022_ms.js,79,0,0,0,capturável sob demanda sem token,SRC-2522ac6cb210e2bb
corredores_exploratorios_aprofundamento,Eixos exploratórios para aprofundamento,analise,embedded,local-vector,dados/corredores_exploratorios_aprofundamento.js,31,0,0,0,incorporada no pacote,SRC-1adb769812f2a6e5
riscos_sazonalidade,"Riscos, sazonalidade e restrições operacionais — protocolo de fontes",analise,external,reference-only,,,,,,"referência metodológica, sem geometria publicada nesta fase",SRC-b142cc49bbbf74bb
risco_fogo_observado_ms,Risco de fogo observado — IMASUL/INPE,analise,external,local-vector,dados/materializados/2026_08_10/risco_fogo_observado_ms.js,5,0,0,0,referência externa — serviço PIN MS requer autenticação no acesso atual,SRC-d9e7889f73f75945
estacoes_meteorologicas_inmet_cemaden,Estações meteorológicas e pluviométricas — INMET/CEMADEN,analise,external,local-raster,dados/materializados/2026_08_10/estacoes_meteorologicas_inmet_cemaden.png,raster,,,,referência externa — serviço PIN MS requer autenticação no acesso atual,SRC-da5ec2864fe017fc
acessibilidade_rodoviaria_estimada_rotas_base_externa,Acessibilidade rodoviária estimada das rotas com base externa,analise,derived,local-precomputed,dados/precalculados/acessibilidade_rodoviaria_estimada_rotas_base_externa.geojson,37,,,,produto derivado materializado sobre o corte base de 10/08/2026,SRC-942e385e120b5afa
interacoes_rotas_unidades_conservacao,Interações exploratórias entre rotas e unidades de conservação,analise,derived,local-precomputed,dados/precalculados/interacoes_rotas_unidades_conservacao.geojson,8,,,,produto derivado materializado no corte de 10/08/2026,SRC-e031452f027e3d8f
cavidades_proximas_rotas_estudo,Cavidades próximas às rotas em estudo,analise,derived,local-precomputed,dados/precalculados/cavidades_proximas_rotas_estudo.geojson,303,,,,produto derivado materializado no corte de 10/08/2026,SRC-a63b4ef3d9a757bf
cavidades_em_unidades_conservacao,Cavidades registradas em unidades de conservação,analise,derived,local-precomputed,dados/precalculados/cavidades_em_unidades_conservacao.geojson,63,,,,produto derivado materializado no corte de 10/08/2026,SRC-ad3109ba840dcbd2
inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,embedded,local-vector,dados/inventario_geocientifico_fase3.js,124,0,2,0,incorporada no pacote,SRC-70cad8fb7b169729
ativacao_geocientifica_extensao,"Ativação geocientífica, educação e extensão documentadas",analise,embedded,local-vector,dados/ativacao_geocientifica_extensao.js,1,0,0,0,incorporada no pacote,SRC-6df238e21f2b476f
potencial_geocientifico_territorial_250km2,IPG — Potencial geocientífico territorial documentado — 250 km²,analise,embedded,local-vector,dados/potencial_geocientifico_territorial_250km2.js,1690,0,217,0,produto precalculado oficial preferencial; legado embebido mantido apenas como contingência histórica,SRC-c8c880c01380ef3c
limite_operacional_ipg_fase3,Limite operacional de contingência da Fase 3.2,territorio,embedded,local-vector,dados/limite_operacional_ipg_fase3.js,1,0,0,0,incorporada no pacote,SRC-865922fa9e244382
polos_estruturantes_itinerarios_culturais_250km2,Estruturação cultural documentada para itinerários — 250 km²,analise,derived,local-precomputed,dados/precalculados/peic_250km2.geojson,1554,,,,calculável com cinco dimensões locais; festividades usam inventário recorrente de 108 registros e representação municipal operacional; fontes externas já carregadas completam o diagnóstico quando disponíveis,SRC-d7c694c918098955
articulacao_itinerarios_peic_rotas_250km2,Articulação territorial de itinerários — PEIC + convergência de rotas — 250 km²,analise,derived,local-precomputed,dados/precalculados/iati_250km2.geojson,1554,,,,calculável sem aguardar serviços externos; atualiza-se com as dimensões culturais já carregadas,SRC-f9ad80f988e5c1dd
