id,rota,tipo_registro,status_institucional,proveniencia_sintese,fonte_url_registrada,n_fontes_textuais,n_urls_documentais,fontes_urls_alinhadas,validacao_documental,validacao_campo,participacao_comunitaria,consentimento,trace_id,source_id_dataset
ROTA-EST-011,"Rota da Arte Rupestre, dos Chapadões e das Águas do Norte",Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,2,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-32dd14166789c3d7f2711265,SRC-fcd7ca8fba726c6a
ROTA-EST-012,"Rota dos Ipês, das Ruralidades e das Memórias do Centro",Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,2,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-93e4442d7af226aa52de5e78,SRC-fcd7ca8fba726c6a
ROTA-EST-013,Rota das Fortificações e da Guerra do Paraguai,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,3,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-110dc65e9379d939e527a84b,SRC-fcd7ca8fba726c6a
ROTA-EST-014,Rota Bioceânica das Culturas de Fronteira,Corredor institucional reinterpretado no estudo,Corredor rodoviário e turístico em desenvolvimento,Fundação de Turismo de Mato Grosso do Sul,sim,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-2430ddb0f6e8c952d98ee445,SRC-fcd7ca8fba726c6a
ROTA-EST-015,"Rota da CAND, das Migrações e das Transformações Territoriais",Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,1,0,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-a4dca3696610eb7ca52e8b52,SRC-fcd7ca8fba726c6a
ROTA-EST-016,Rota das Águas e do Patrimônio Industrial da Costa Leste,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,3,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-ddd5b779a53077206b8ffb57,SRC-fcd7ca8fba726c6a
ROTA-EST-017,Rota Pantaneira das Comitivas e Fazendas Históricas,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,2,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-ca2612c3af9c8b2f7ec4eb98,SRC-fcd7ca8fba726c6a
ROTA-EST-018,Rota das Festas de Fé e Devoção Popular,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,3,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-e1583bf2bf359800b3174575,SRC-fcd7ca8fba726c6a
ROTA-EST-019,Rota dos Portos e das Culturas do Rio Paraguai,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-97dda6a455f91e8a0124cd04,SRC-fcd7ca8fba726c6a
ROTA-EST-020,Rota dos Saberes do Cerrado,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-06bb08a75b07c7b6e20e45c8,SRC-fcd7ca8fba726c6a
ROTA-EST-021,Rota de Aviturismo nas Unidades de Conservação da Mata Atlântica,Rota institucional incorporada ao estudo,Lançada e promovida pela Fundtur MS,Fundação de Turismo de Mato Grosso do Sul,sim,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-fe0ce409b6e30ecccb347a7e,SRC-fcd7ca8fba726c6a
ROTA-EST-022,Rota de Aviturismo da Rota Bioceânica,Rota institucional incorporada ao estudo,Em estruturação pela Fundtur MS,Fundação de Turismo de Mato Grosso do Sul,sim,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-845782327ea748355da1e33d,SRC-fcd7ca8fba726c6a
ROTA-EST-023,Rota de Aviturismo do Pantanal Sul,Proposta autoral baseada em produto turístico institucional consolidado,"Produto turístico territorial consolidado, sem rota formal identificada com esta denominação",Elaboração própria do projeto Atlas Interativo MS com base em produto turístico institucional consolidado,não,1,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-f47f94ad8279b0cfbab3ec9d,SRC-fcd7ca8fba726c6a
ROTA-EST-024,Rota de Aviturismo da Serra da Bodoquena,Proposta autoral baseada em produto turístico institucional consolidado,"Produto turístico territorial consolidado, sem rota formal identificada com esta denominação",Elaboração própria do projeto Atlas Interativo MS com base em produto turístico institucional consolidado,não,1,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-b1f002e069a8b38074e13950,SRC-fcd7ca8fba726c6a
ROTA-EST-025,Rota das Monções e do Folclore Monçoeiro,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-eb93308e2558e522d3816209,SRC-fcd7ca8fba726c6a
ROTA-EST-026,Rota Pantanal Bonito,Produto turístico institucional incorporado ao estudo,Produto turístico promovido institucionalmente,Fundação de Turismo de Mato Grosso do Sul,sim,1,1,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-8131366343bfa8a5ced2496f,SRC-fcd7ca8fba726c6a
ROTA-EST-027,Rota do Artesanato e das Cerâmicas de Mato Grosso do Sul,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-e57d0d224512f3594ea5bfff,SRC-fcd7ca8fba726c6a
ROTA-EST-028,Rota das Águas e Paisagens do Vale do Ivinhema,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,2,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-54b95c9971ff490fe32ca6a2,SRC-fcd7ca8fba726c6a
ROTA-EST-029,Rota do Chaco e da Fronteira Oeste,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,2,1,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-51497f2040b7f37203c3d06f,SRC-fcd7ca8fba726c6a
ROTA-EST-030,"Rota dos Museus, Memórias e Centros Históricos Urbanos",Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,1,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-09666c6415fda4e5c5f87dd1,SRC-fcd7ca8fba726c6a
ROTA-EST-031,Rota dos Marcos e das Cidades de Fronteira,Hipótese autoral de estudo,Não institucional,Elaboração própria do projeto Atlas Interativo MS,não,3,2,revisar,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-a61382070339f82f454629af,SRC-fcd7ca8fba726c6a
ROTA-EST-032,Caminho para os Ervais,Rota histórica reconstruída com base documental e cartográfica,Proposta científica publicada,"Elaboração própria do projeto a partir de publicações científicas, mapas históricos e adaptação interpretativa à rede viária contemporânea",sim,5,5,sim,parcial,nao_realizada,nao_registrada,nao_registrado,TRC-EVL-d3c72c52a9d105e664314137,SRC-fcd7ca8fba726c6a
