index,grupo,tipo_fonte,referencia_apa7,url,acesso,camadas_relacionadas,uso_no_projeto
14,"Território, municípios e população",Referência APA 7,"PIN MS e AGRAER. (s.d.). *Sedes municipais e aglomerados rurais e urbanos* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0,6 ago. 2026,municipios_sedes | localidades_aglomerados,"Fonte bibliográfica do grupo Território, municípios e população."
15,"Território, municípios e população",Referência APA 7,"PIN MS e AGRAER. (s.d.). *Aglomerados rurais e urbanos* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,6 ago. 2026,localidades_aglomerados,"Fonte bibliográfica do grupo Território, municípios e população."
16,Localidades indígenas e quilombolas,Referência APA 7,"IBGE. (2025). *Localidades Indígenas do Censo Demográfico 2022* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022",https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022,6 ago. 2026,localidades_indigenas_ibge,Fonte bibliográfica do grupo Localidades indígenas e quilombolas.
17,Localidades indígenas e quilombolas,Referência APA 7,"IBGE. (2024). *Localidades Quilombolas do Censo Demográfico 2022* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022",https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022,6 ago. 2026,localidades_quilombolas_ibge,Fonte bibliográfica do grupo Localidades indígenas e quilombolas.
18,Localidades indígenas e quilombolas,Referência APA 7,"IBGE. (2022). *Censo Demográfico 2022, quilombolas e indígenas, níveis geográficos e recortes territoriais* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes",https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes,6 ago. 2026,localidades_indigenas_ibge | localidades_quilombolas_ibge,Fonte bibliográfica do grupo Localidades indígenas e quilombolas.
19,Localidades indígenas e quilombolas,Referência APA 7,Fundação de Turismo de Mato Grosso do Sul. (2026). *Guia de Afroturismo Isto é Mato Grosso do Sul* [Documento ou publicação institucional]. https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf,https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf,6 ago. 2026,localidades_quilombolas_ibge | rotas_culturais_propostas | articulacao_itinerarios_peic_rotas_250km2,Fonte bibliográfica do grupo Localidades indígenas e quilombolas.
20,Educação,Referência APA 7,"INEP. (2025). *Catálogo de Escolas* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas",https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas,6 ago. 2026,escolas,Fonte bibliográfica do grupo Educação.
21,Educação,Referência APA 7,INEP. (2025). *Microdados do Censo Escolar da Educação Básica 2025* [Conjunto de dados]. https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar,6 ago. 2026,escolas,Fonte bibliográfica do grupo Educação.
22,Educação,Referência APA 7,INEP. (2025). *Arquivo dos microdados do Censo Escolar 2025* [Conjunto de dados]. https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,6 ago. 2026,escolas,Fonte bibliográfica do grupo Educação.
23,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e SEMADESC. (s.d.). *Rodovias estaduais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8,6 ago. 2026,rodovias_estaduais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
24,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e SEMADESC. (s.d.). *Rodovias federais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9,6 ago. 2026,rodovias_federais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
25,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e SEMADESC. (s.d.). *Estradas vicinais de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11",https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11,6 ago. 2026,estradas_vicinais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
26,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e AGRAER. (s.d.). *Sistema viário estadual, camadas de rodovias estaduais e federais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer,6 ago. 2026,rodovias_estaduais | rodovias_federais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
27,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e AGRAER. (s.d.). *Estradas vicinais* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,6 ago. 2026,estradas_vicinais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
28,Infraestrutura viária e hidrografia,Referência APA 7,"AGESUL. (2026). *Sistema Rodoviário Estadual de Mato Grosso do Sul* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.agesul.ms.gov.br/sre-ms",https://www.agesul.ms.gov.br/sre-ms,6 ago. 2026,rodovias_estaduais,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
29,Infraestrutura viária e hidrografia,Referência APA 7,"DNIT. (s.d.). *VGeo, visualizador de informações geográficas do DNIT* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://servicos.dnit.gov.br/vgeo",https://servicos.dnit.gov.br/vgeo,6 ago. 2026,rodovias_federais | condicao_pavimento,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
30,Infraestrutura viária e hidrografia,Referência APA 7,"PIN MS e AGRAER. (s.d.). *Hidrografia de Mato Grosso do Sul* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,6 ago. 2026,rede_hidrica,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
31,Infraestrutura viária e hidrografia,Referência APA 7,"Agência Nacional de Águas e Saneamento Básico. (s.d.). *Metadados do Sistema Nacional de Informações sobre Recursos Hídricos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://metadados.snirh.gov.br",https://metadados.snirh.gov.br,6 ago. 2026,rede_hidrica,Fonte bibliográfica do grupo Infraestrutura viária e hidrografia.
32,Patrimônio arqueológico,Referência APA 7,"IPHAN. (2026). *Cadastro de Sítios Arqueológicos* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos",https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos,6 ago. 2026,sitios_arqueologicos_pontos | sitios_arqueologicos_poligonos,Fonte bibliográfica do grupo Patrimônio arqueológico.
33,Patrimônio arqueológico,Referência APA 7,"IPHAN e IBAMA, PAMGIA. (s.d.). *Sítios arqueológicos, camada de pontos sincronizada* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0,6 ago. 2026,sitios_arqueologicos_pontos,Fonte bibliográfica do grupo Patrimônio arqueológico.
34,Patrimônio arqueológico,Referência APA 7,"IPHAN e IBAMA, PAMGIA. (s.d.). *Sítios arqueológicos, camada de delimitações sincronizada* [Serviço ou API geoespacial]. Recuperado em 6 de agosto de 2026, de https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,6 ago. 2026,sitios_arqueologicos_poligonos,Fonte bibliográfica do grupo Patrimônio arqueológico.
35,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Bem Brasileiro, Banco de Referências Culturais* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br",https://bcr.iphan.gov.br,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
36,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Bens culturais imateriais registrados* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais",https://bcr.iphan.gov.br/bens-culturais,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
37,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Banho de São João de Corumbá e Ladário* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms",https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
38,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Modo de Fazer Viola de Cocho associado ao Cururu e ao Siriri* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho",https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
39,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Choro* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/choro",https://bcr.iphan.gov.br/bens-culturais/choro,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
40,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Roda de Capoeira* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira",https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
41,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Ofício dos Mestres e Mestras da Capoeira* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira",https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
42,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Ofício, saberes e práticas das parteiras tradicionais do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil",https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
43,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Ofício de Raizeiras e Raizeiros do Cerrado* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado",https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
44,Patrimônio cultural imaterial,Referência APA 7,"IPHAN. (s.d.). *Circo de Tradição Familiar do Brasil* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil",https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil,6 ago. 2026,bcr_bens_culturais_ms,Fonte bibliográfica do grupo Patrimônio cultural imaterial.
45,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *GEOSSIT, inventário de geossítios e sítios da geodiversidade* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit",https://www.sgb.gov.br/geossit,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
46,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Gruta do Lago Azul, registro 964* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/964",https://www.sgb.gov.br/geossit/geossitios/ver/964,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
47,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Porto Ladário, registro 963* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/963",https://www.sgb.gov.br/geossit/geossitios/ver/963,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
48,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Rochas Fosfáticas da Fazenda Ressaca e Primavera, registro 959* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/959",https://www.sgb.gov.br/geossit/geossitios/ver/959,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
49,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Mineração Corcal, registro 958* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/958",https://www.sgb.gov.br/geossit/geossitios/ver/958,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
50,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Formação Urucum, registro 955* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/955",https://www.sgb.gov.br/geossit/geossitios/ver/955,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
51,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Porto Limoeiro, registro 953* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/953",https://www.sgb.gov.br/geossit/geossitios/ver/953,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
52,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Crosta Laterítica com Inscrições Rupestres, Fazenda Figueirinha, registro 951* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/951",https://www.sgb.gov.br/geossit/geossitios/ver/951,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
53,Geodiversidade e patrimônio geológico,Referência APA 7,"Serviço Geológico do Brasil. (s.d.). *Parque Municipal Marina Gatass, registro 1496* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://www.sgb.gov.br/geossit/geossitios/ver/1496",https://www.sgb.gov.br/geossit/geossitios/ver/1496,6 ago. 2026,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
54,Geodiversidade e patrimônio geológico,Referência APA 7,"Rolim, F. G. e Theodorovicz, A. (2012). *Geoparque Bodoquena-Pantanal, MS, proposta* [Página institucional ou portal]. Recuperado em 6 de agosto de 2026, de https://rigeo.sgb.gov.br/handle/doc/17164",https://rigeo.sgb.gov.br/handle/doc/17164,6 ago. 2026,geodiversidade_candidatos | lugares_interesse_geologico_propostos | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,Fonte bibliográfica do grupo Geodiversidade e patrimônio geológico.
