ordem,id,camada,grupo,tipo_origem,modalidade,geometria_esperada,estado_dados_v20,registros_locais,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,data_corte,atualizacao_fonte,crs,escala_resolucao,nivel_validacao,precisao,restricao_uso,limitacoes,responsavel_compilacao,versao
11,retirada_laguna_nodos_municipais,Nós municipais da Retirada da Laguna,patrimonio,local,embedded,Point,incorporada no pacote,0,Decreto Estadual nº 12.897 de 2009 e sedes municipais IBGE. Não constitui uma linha oficial de rota,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
12,territorios_quilombolas_poligonos,Territórios quilombolas delimitados e titulados,comunidades,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"INCRA, camada sincronizada pelo PAMGIA IBAMA",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_quilombos_incra_a/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
13,rodovias_estaduais,Rodovias estaduais,infra,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"PIN MS, AGRAER e AGESUL",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/1,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
14,rodovias_federais,Rodovias federais,infra,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,PIN MS e DNIT,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/FeatureServer/2,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
15,estradas_vicinais,Estradas vicinais,infra,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,PIN MS e AGRAER,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
16,rede_hidrica,Rede hídrica,infra,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"PIN MS, AGRAER e ANA",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
17,bcr_bens_culturais_ms,Bens culturais relacionados com Mato Grosso do Sul,patrimonio,local,embedded,Point,incorporada no pacote,0,Banco de Referências Culturais do IPHAN,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
18,sitios_arqueologicos_pontos,Sítios arqueológicos,patrimonio,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/MapServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,Generalizar coordenadas em divulgação pública e controlar o acesso ao dado preciso,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
19,sitios_arqueologicos_poligonos,Delimitações arqueológicas,patrimonio,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,IPHAN sincronizado pelo PAMGIA IBAMA,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,Generalizar coordenadas em divulgação pública e controlar o acesso ao dado preciso,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
20,escolas,Escolas do Censo Escolar,educacao,download oficial,remotezip,Conforme fonte,processamento sob demanda,0,INEP Censo Escolar 2025,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
21,campus_ensino_superior,"Referências cartográficas preliminares — Campus universitários, faculdades e institutos federais",educacao,cartografia colaborativa preliminar,overpass,Point representativo,captura preliminar sujeita a validação,0,"Captura espacial OpenStreetMap. Validação institucional por e-MEC, UFMS, UEMS, UFGD e IFMS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://emec.mec.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,exploratória,Declarada no registro local ou preservada da fonte; consultar metadados,Não utilizar como cadastro institucional sem validação,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
22,geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,local,embedded,Point,incorporada no pacote,0,Levantamento do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
23,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,local,embedded,Point,incorporada no pacote,0,Serviço Geológico do Brasil. Registros com status Em análise na data de corte,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
24,geossitios_decreto_12897_2009,54 geossítios do Decreto Estadual 12.897 de 2009,geodiversidade,local,embedded,Point and pending line/area,incorporada no pacote,0,"Governo de Mato Grosso do Sul. Anexo I do Decreto Estadual nº 12.897/2009. 54 registros documentais, 40 pontos georreferenciados e 14 geometrias pendentes",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,40 coordenadas publicadas ou validadas segundo a fonte indicada; 14 registros sem geometria consolidada,,"O decreto contém 54 registros, mas a camada espacial representa somente 40 pontos. As linhas e áreas pendentes não foram inventadas.","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
25,mapa_geologico_ms,Mapa geológico de Mato Grosso do Sul 1:1.000.000,geodiversidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"Serviço Geológico do Brasil, unidades litoestratigráficas do mapeamento estadual 1:1.000.000 [2006]",https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer/7,https://geoportal.sgb.gov.br/server/rest/services/geologia/litoestratigrafia_estados/MapServer,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,1:1.000.000,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
26,mapa_hidrogeologico_ms,Mapa hidrogeológico de Mato Grosso do Sul,geodiversidade,serviço oficial,arcgis,Conforme fonte,capturável sob demanda,0,"Serviço Geológico do Brasil. Recorte vetorial do Atlas Hidrogeológico e referência ao mapa estadual 2024, escala 1:1.000.000",https://geoportal.sgb.gov.br/server/rest/services/hidrologia/Mapa_Hidrogeologico_Atlas_Brasil/MapServer/1,https://rigeo.sgb.gov.br/handle/doc/25365,https://rigeo.sgb.gov.br/bitstreams/8b3ea851-588c-422d-8dd6-2d1e508be11d/download,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,1:1.000.000,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
27,sistema_aquifero_guarani_ana,Sistema Aquífero Guarani,geodiversidade,portal externo,external,Conforme fonte,consulta externa,0,ANA. Sistemas Aquíferos do Brasil. Geometria local ainda não incorporada nesta versão,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,https://metadados.snirh.gov.br/geonetwork/geonetwork/api/records/3ec60e4f-85ea-4ba7-a90c-734b57594f90,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
28,mapa_geomorfologico_ibge,Mapa geomorfológico do estado,geodiversidade,portal externo,external,Conforme fonte,consulta externa,0,"IBGE BDiA. Geomorfologia, unidades do relevo e dados vetoriais oficiais",https://bdiaweb.ibge.gov.br/,https://www.ibge.gov.br/geociencias/informacoes-ambientais/geomorfologia/10870-geomorfologia.html,https://geoftp.ibge.gov.br/informacoes_ambientais/geomorfologia/,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,1:250.000,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
29,mapa_altimetria_ms,Mapa de altimetria e hipsometria,geodiversidade,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,SEMADESC e PIN MS. Altimetria de Mato Grosso do Sul,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/5,https://www.dados.ms.gov.br/dataset/altimetria-ms,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
30,mapa_declividade_topodata,Mapa de declividade e formas do terreno,geodiversidade,portal externo,external,Conforme fonte,consulta externa,0,INPE TOPODATA. Declividade e variáveis geomorfométricas derivadas do SRTM,https://data.inpe.br/dados/topodata/,https://www.dsr.inpe.br/topodata/acesso.php,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
31,mapa_recursos_minerais_ms,Recursos minerais e ocorrências geológicas,geodiversidade,mapa oficial dinâmico,arcgisMap,Conforme fonte,visualização dinâmica,0,Serviço Geológico do Brasil. Ocorrências minerais do GeoSGB,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer/0,https://geoportal.sgb.gov.br/server/rest/services/geologia/ocorrencias/MapServer,,Consultar licença ou termos da instituição responsável,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,oficial na fonte,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
32,lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,local,embedded,Conforme fonte,incorporada no pacote,0,Proposta histórica SGB CPRM e levantamento do projeto,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
33,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,local,embedded,Point,incorporada no pacote,0,"Decreto Estadual nº 12.897/2009, GEOSSIT, SIGEP e fontes técnicas declaradas",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
34,festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,local,embedded,Point,incorporada no pacote,0,Inventário documental com data de corte em 6 de agosto de 2026,,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
35,rotas_culturais_propostas,Propostas metodológicas de rotas e itinerários culturais — marco PRICI,eventos,local,embedded,LineString,incorporada no pacote,0,"Projeto de pesquisa científica. Fontes específicas por registro. A seleção e a geometria comparativa são autorais, revisáveis e não aprovadas pelo PRICI",,,,"CC BY 4.0 para a composição, atributos e geometria autorais; bases documentais mantêm seus termos originais",2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,pesquisa exploratória e revisável,"Geometrias esquemáticas entre sedes municipais, abertas a revisão. Não reproduzem necessariamente percursos institucionais, históricos, viários, fluviais ou comunitários","Uso exclusivamente científico, exploratório e comparativo. Não utilizar como rota oficial, produto turístico, plano de viagem, autorização de visita, acesso territorial ou proposta aprovada pelo PRICI","As propostas podem ser modificadas, ampliadas, reduzidas, subdivididas, integradas, descartadas ou reformuladas. Dependem de novas fontes, campo, validação institucional e participação comunitária quando aplicável","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
36,pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,local,embedded,Point,incorporada no pacote,0,"Integração local de patrimônio, geodiversidade, festividades, fronteira e memória histórica",,,,CC BY 4.0 para a compilação e os produtos autorais; manter atribuição e termos das fontes primárias,2026-08-06,Conforme a fonte no momento da captura ou data declarada no registro local,EPSG:4326 no núcleo local; conversão para WGS84 durante capturas compatíveis,Não informada,documental,Declarada no registro local ou preservada da fonte; consultar metadados,,"Consultar a ficha da camada, a metodologia e a seção Cobertura e limites","Projeto Atlas Interativo MS — Carlos Busón Buesa, Carlos Otávio Zamberlan e Moisés Centenaro",v1.6.0
