id_decreto,numero,nome,municipio,interesse_oficial,descricao_oficial_resumida,localizacao_oficial,tipo_geometria_prevista,status_geometria,latitude,longitude,fonte_coordenada,confianca_coordenada,status_inventario,fonte_decreto,publicacao,data_compilacao,registro_sigep,numero_sigep,situacao_sigep,fonte_sigep
DEC12897-15,15,Grutas do Mimoso,Bonito,"Geológico, ecológico e paisagístico",Cones calcários de relevância internacional.,Município de Bonito,ponto,georreferenciado,-20.901666666666664,-56.55833333333333,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-16,16,Lagoa Misteriosa,Jardim,"Geológico, ecológico e paisagístico",Grande dolina desenvolvida em dolomitos.,Município de Jardim,ponto,georreferenciado,-21.45805555555556,-56.45222222222223,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-17,17,Buraco das Araras,Jardim,"Geológico, ecológico e paisagístico",Dolina desenvolvida simultaneamente em arenito e calcário.,Município de Jardim,ponto,georreferenciado,-21.48333333333333,-56.4,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-18,18,Pegadas de Dinossauros,Nioaque,"Geológico, paleontológico e cultural",Pegadas fósseis de dinossauros em rochas sedimentares jurássicas.,"Margem direita do rio Nioaque, Fazenda Minuano",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-19,19,Parque das Cachoeiras,Bonito,"Geológico, ecológico e paisagístico","Cachoeiras de tufas calcárias, pequenas cavernas e piscinas naturais.",Município de Bonito,ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-20,20,Cachoeira Boca da Onça,Bodoquena,"Geológico, ecológico e paisagístico",Tufas calcárias e cachoeira de 156 metros.,Município de Bodoquena,ponto,georreferenciado,-20.766944444444444,-56.70611111111111,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-21,21,Nascentes do Rio Sucuri,Bonito,"Geológico, ecológico e paisagístico",Carbonatação e elevada transparência da água.,"Rio Sucuri, município de Bonito",ponto,georreferenciado,-21.25,-56.56666666666667,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-22,22,"Monumento Natural do Rio Formoso, Ilha do Padre",Bonito,"Geológico, ecológico e paisagístico",Tufas calcárias.,Município de Bonito,ponto,georreferenciado,-21.119722222222222,-56.38805555555555,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-23,23,Recanto Ecológico Rio da Prata,Jardim,"Geológico, ecológico e paisagístico",Tufas calcárias.,Município de Jardim,ponto,georreferenciado,-21.45,-56.43333333333333,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-24,24,Estrada Parque Pantanal Sul,Corumbá,"Geológico, arqueológico, ecológico, paisagístico e cultural","Lentes calcárias fossilíferas, vestígios arqueológicos e paisagem da planície do rio Miranda.","Estrada Parque Pantanal Sul, município de Corumbá",linha,geometria de linha pendente,,,,geometria linear ou de área ainda não incorporada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-25,25,Fazenda Figueirinha,Corumbá,"Geológico, arqueológico, paisagístico e cultural",Sítio arqueológico com inscrições petroglíficas.,"Fazenda Figueirinha, BR-262, município de Corumbá",ponto,georreferenciado,-19.236133575,-57.652023315,"GEOSSIT, registro 951",coordenada oficial do registro GEOSSIT,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-26,26,Fazenda Salesianos,Corumbá,"Geológico, arqueológico, paisagístico e cultural",Sítio arqueológico com inscrições petroglíficas.,"Estrada Parque, sopé da Morraria do Urucum-Santa Cruz",ponto,georreferenciado,-19.16583333333333,-57.55888888888889,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-27,27,Proximidade ao acesso à Aldeia São João,Porto Murtinho,Geológico e paisagístico,Vista da geomorfologia da borda escarpada oeste da Serra da Bodoquena.,"Estrada MS-382, município de Porto Murtinho",ponto,georreferenciado,-21.067777777777778,-56.88361111111111,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-28,28,Borda Oeste da Serra da Bodoquena,Porto Murtinho,Geológico e paisagístico,Observação da borda oeste da Serra da Bodoquena.,"Estrada MS-382, município de Porto Murtinho",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-29,29,Cachoeiras do Aquidaban,Bonito,Geológico e paisagístico,Tufas calcárias.,Município de Bonito,ponto,georreferenciado,-21.06805555555556,-56.900277777777774,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-30,30,Morro do Azeite,Corumbá,"Geológico, paisagístico e cultural",Morro do Azeite e paisagem associada ao rio Miranda.,"Margem esquerda do rio Miranda, município de Corumbá",ponto,georreferenciado,-19.68777777777778,-57.00361111111111,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-31,31,"Mina Laís, Morraria Urucum",Corumbá,Geológico,Lavra de minério de ferro em depósito de tálus.,"Parte sul da Morraria do Urucum, município de Corumbá",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-32,32,Fazenda Esperança,Corumbá,Geológico e paisagístico,Vista parcial da Morraria Tromba dos Macacos.,"BR-262, km 740, sentido Corumbá",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-33,33,"Morraria Urucum-Santa Cruz, Mina de Ferro e Manganês",Corumbá,Geológico e paisagístico,Sedimentação química glácio-marinha e reservas de ferro e manganês.,"Morraria Urucum-Santa Cruz, município de Corumbá",ponto,georreferenciado,-19.21527777777778,-57.58027777777778,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-34,34,"Mina Santana, Morraria do Rabichão",Corumbá,Geológico e paisagístico,Sedimentação química em ambiente glácio-marinho.,"Mina Santana, Morraria do Rabichão, município de Corumbá",ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-35,35,Morro do Jacadigo,Corumbá,Geológico e paisagístico,Sedimentação química glácio-marinha e reservas de ferro e manganês.,Município de Corumbá,ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-36,36,Morro do Mel,Corumbá,Geológico,Sedimentação química glácio-marinha e mina ativa de ferro.,Município de Corumbá,ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-37,37,Fazenda Ressaca e Primavera,Bonito,Geológico,Afloramento de fosforito.,"Fazenda Ressaca, município de Bonito",ponto,georreferenciado,-20.839170456,-56.588756561,"GEOSSIT, registro 959",coordenada oficial do registro GEOSSIT,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-38,38,Parque Ecológico das Cacimbas,Corumbá,"Geológico, paisagístico e cultural",Ocorrência de fósseis de Corumbella.,"Cacimba de Pedra, cidade de Corumbá",ponto,georreferenciado,-18.999166666666667,-57.66722222222222,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-39,39,Parque Marina Gatass,Corumbá,"Geológico, paisagístico, histórico e cultural",Ocorrência do fóssil Cloudina.,"Parque Marina Gatass, cidade de Corumbá",ponto,georreferenciado,-19.012443542,-57.688095093,"GEOSSIT, registro 1496",coordenada oficial do registro GEOSSIT,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-40,40,Escadinha e Mirante da XV,Corumbá,"Geológico, paisagístico, histórico e cultural",Afloramento urbano da Formação Xaraés.,Centro da cidade de Corumbá,ponto,georreferenciado,-18.997777777777777,-57.655277777777776,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-41,41,Morraria Campo dos Índios,Bodoquena / Porto Murtinho,"Geológico, paisagístico, histórico e cultural",Afloramento de conglomerados da Formação Kadiwéu.,Entre Morraria do Sul e o Posto Indígena Presidente Alves de Barros,ponto,coordenada pontual pendente,,,,sem coordenada validada,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-42,42,Buraco das Abelhas,Jardim,Geológico e paleontológico,Cavidade de interesse geológico e paleontológico.,Município de Jardim,ponto,georreferenciado,-21.49055555555556,-56.72777777777778,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-43,43,Gruta do Urubu Rei,Bodoquena,Geológico,Cavidade natural de interesse geológico.,Município de Bodoquena,ponto,georreferenciado,-20.49416666666667,-56.852222222222224,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
DEC12897-44,44,Balneário Municipal Presidente Corrêa,Bodoquena,Geológico,Tufas calcárias.,"Balneário Municipal Presidente Corrêa, município de Bodoquena",ponto,georreferenciado,-20.630277777777778,-56.65222222222222,Proposta técnica SGB/CPRM compilada no atlas,coordenada publicada em fonte técnica complementar,Integrante do Anexo I do Decreto Estadual nº 12.897/2009,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/9d2a7d2cb9c27f170425769a005c3d44?OpenDocument,"Diário Oficial de MS nº 7.610, de 23 de dezembro de 2009",2026-08-05,,,,
