referencia_index,grupo_bibliografico,url,camadas_antes,camadas_depois,quantidade_camadas,metodo_vinculacao,confianca,observacao
10,"Território, municípios e população",https://servicodados.ibge.gov.br/api/docs/localidades,municipios_sedes | localidades_ibge_completas,municipios_sedes | localidades_ibge_completas | limite_operacional_ipg_fase3,3,regra_explicita,alta,
11,"Território, municípios e população",https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html,localidades_populacoes | localidades_ibge_completas,localidades_populacoes | localidades_ibge_completas,2,regra_explicita,alta,
12,"Território, municípios e população",https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/Localidades_do_Brasil/2022/Localidades_UFs_shp.zip,localidades_populacoes | localidades_ibge_completas,localidades_populacoes | localidades_ibge_completas,2,coincidencia_url + regra_explicita,alta,
13,"Território, municípios e população",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estado_de_MS_Politico/MapServer/0,municipios_limites,municipios_limites,1,regra_explicita,alta,
14,"Território, municípios e população",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/0,municipios_sedes | localidades_aglomerados,municipios_sedes | localidades_aglomerados,2,regra_explicita,alta,
15,"Território, municípios e população",https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Sede_dos_municipios_e_aglomerados_rurais_e_urbano/FeatureServer/1,localidades_aglomerados,localidades_aglomerados,1,coincidencia_url + regra_explicita,alta,
16,Localidades indígenas e quilombolas,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_indigenas_2022,localidades_indigenas_ibge,localidades_indigenas_ibge,1,regra_explicita,alta,
17,Localidades indígenas e quilombolas,https://geoftp.ibge.gov.br/organizacao_do_territorio/estrutura_territorial/localidades/localidades_quilombolas_2022,localidades_quilombolas_ibge,localidades_quilombolas_ibge,1,regra_explicita,alta,
18,Localidades indígenas e quilombolas,https://biblioteca.ibge.gov.br/index.php/biblioteca-catalogo?id=73107&view=detalhes,localidades_indigenas_ibge | localidades_quilombolas_ibge,localidades_indigenas_ibge | localidades_quilombolas_ibge,2,regra_explicita,alta,
19,Localidades indígenas e quilombolas,https://www.turismo.ms.gov.br/wp-content/uploads/2026/05/Guia-Isto-e-Mato-Grosso-do-Sul-AFROTURISMO.pdf,localidades_quilombolas_ibge | rotas_culturais_propostas,localidades_quilombolas_ibge | rotas_culturais_propostas,2,regra_explicita,alta,
20,Educação,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas,escolas,escolas,1,regra_explicita,alta,
21,Educação,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/censo-escolar,escolas,escolas,1,regra_explicita,alta,
22,Educação,https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2025_.zip,escolas,escolas,1,coincidencia_url + regra_explicita,alta,
23,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/8,rodovias_estaduais,rodovias_estaduais,1,regra_explicita,alta,
24,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/9,rodovias_federais,rodovias_federais,1,regra_explicita,alta,
25,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/11,estradas_vicinais,estradas_vicinais,1,regra_explicita,alta,
26,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Viario_MS/MapServer,rodovias_estaduais | rodovias_federais,rodovias_estaduais | rodovias_federais,2,regra_explicita,alta,
27,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Estradas_Vicinais/MapServer/0,estradas_vicinais,estradas_vicinais,1,coincidencia_url + regra_explicita,alta,
28,Infraestrutura viária e hidrografia,https://www.agesul.ms.gov.br/sre-ms,rodovias_estaduais,rodovias_estaduais,1,regra_explicita,alta,
29,Infraestrutura viária e hidrografia,https://servicos.dnit.gov.br/vgeo,rodovias_federais | condicao_pavimento,rodovias_federais | condicao_pavimento,2,regra_explicita,alta,
30,Infraestrutura viária e hidrografia,https://www.pinms.ms.gov.br/arcgis/rest/services/AGRAER_SERVICOS/Hidrografia_MS/FeatureServer/0,rede_hidrica,rede_hidrica,1,coincidencia_url + regra_explicita,alta,
31,Infraestrutura viária e hidrografia,https://metadados.snirh.gov.br,rede_hidrica,rede_hidrica,1,regra_explicita,alta,
32,Patrimônio arqueológico,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-arqueologico/cadastro-de-sitios-arqueologicos,sitios_arqueologicos_pontos | sitios_arqueologicos_poligonos,sitios_arqueologicos_pontos | sitios_arqueologicos_poligonos,2,regra_explicita,alta,
33,Patrimônio arqueológico,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/loc_sitios_arqueologicos_iphan_p/FeatureServer/0,sitios_arqueologicos_pontos,sitios_arqueologicos_pontos,1,regra_explicita,alta,
34,Patrimônio arqueológico,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_sitios_arqueologicos_iphan_a/FeatureServer/0,sitios_arqueologicos_poligonos,sitios_arqueologicos_poligonos,1,coincidencia_url + regra_explicita,alta,
35,Patrimônio cultural imaterial,https://bcr.iphan.gov.br,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
36,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
37,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/banho-de-sao-joao-de-corumba-e-ladario-ms,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
38,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
39,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/choro,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
40,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/roda-de-capoeira,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
41,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/oficio-dos-mestres-de-capoeira,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
42,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/oficio-saberes-e-praticas-das-parteiras-tradicionais-do-brasil,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
43,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/oficio-de-raizeiras-e-raizeiros-do-cerrado,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
44,Patrimônio cultural imaterial,https://bcr.iphan.gov.br/bens-culturais/circo-de-tradicao-familiar-do-brasil,bcr_bens_culturais_ms,bcr_bens_culturais_ms,1,regra_explicita,alta,
45,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
46,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/964,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
47,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/963,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
48,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/959,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
49,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/958,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
50,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/955,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
51,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/953,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
52,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/951,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
53,Geodiversidade e patrimônio geológico,https://www.sgb.gov.br/geossit/geossitios/ver/1496,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geossit_registros_ms | geossitios_compilados_niveis_precisao | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
54,Geodiversidade e patrimônio geológico,https://rigeo.sgb.gov.br/handle/doc/17164,geodiversidade_candidatos | lugares_interesse_geologico_propostos | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,geodiversidade_candidatos | lugares_interesse_geologico_propostos | inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,4,regra_explicita,alta,
55,Geodiversidade e patrimônio geológico,https://doi.org/10.1007/s12371-020-00437-8,inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,inventario_geocientifico_fase3 | potencial_geocientifico_territorial_250km2,2,regra_explicita,alta,
56,"Festividades, turismo e inventário cultural",https://www.fundacaodecultura.ms.gov.br/carnaval-2026-blocos-de-rua-tomam-campo-grande-em-tres-finais-de-semana-de-folia-cultura-e-diversidade,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
57,"Festividades, turismo e inventário cultural",https://www.fundacaodecultura.ms.gov.br/com-apoio-do-grupo-tez-feijoada-de-jorge-celebra-fe-samba-e-ancestralidade-na-vila-carvalho,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
58,"Festividades, turismo e inventário cultural",https://turismo.maracaju.ms.gov.br/agenda/30-festa-da-linguica-de-maracaju/1098,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
59,"Festividades, turismo e inventário cultural",https://www.fundacaodecultura.ms.gov.br/festival-america-do-sul-2026-transforma-corumba-em-palco-da-integracao-latino-americana,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
60,"Festividades, turismo e inventário cultural",https://www.turismo.ms.gov.br/iii-festival-de-inverno-de-turismo-rural-valoriza-experiencias-autenticas-na-regiao-turistica-campo-grande-dos-ipes,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
61,"Festividades, turismo e inventário cultural",https://www.fundacaodecultura.ms.gov.br/wp-content/uploads/2026/05/RELACAO-BENS-MATERIAIS-E-IMATERIAIS-DO-ESTADO-DO-MATO-GROSSO-DO-SUL-atualizado.pdf,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
62,"Festividades, turismo e inventário cultural",https://www.fundacaodecultura.ms.gov.br/festival-de-inverno-de-bonito-2026-anuncia-grandes-shows-nacionais-e-reforca-valorizacao-da-cultura-sul-mato-grossense,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
63,"Festividades, turismo e inventário cultural",https://feiracentralcg.com.br/festival-do-soba,festividades_inventario_2026 | pontos_interesse_itinerarios,festividades_inventario_2026 | pontos_interesse_itinerarios,2,regra_explicita,alta,
64,Cartografia de base e bibliotecas,https://www.openstreetmap.org/copyright,campus_ensino_superior | patrimonio_estadual_estacoes_ferroviarias | bibliotecas_arquivos | espacos_culturais | centros_visitantes_trilhas | centros_atendimento_turista | turismo_rural_comunitario | terminais_rodoviarios | terminais_rodoviarios_fronteiras | artesanato_producao_tradicional | gastronomia_mercados_feiras | unidades_saude | bombeiros_seguranca | combustivel_oficinas_descanso | acessibilidade_servicos | acessibilidade_rodoviaria_estimada_rotas_base_externa,campus_ensino_superior | patrimonio_estadual_estacoes_ferroviarias | bibliotecas_arquivos | espacos_culturais | centros_visitantes_trilhas | centros_atendimento_turista | turismo_rural_comunitario | terminais_rodoviarios | terminais_rodoviarios_fronteiras | artesanato_producao_tradicional | gastronomia_mercados_feiras | unidades_saude | bombeiros_seguranca | combustivel_oficinas_descanso | acessibilidade_servicos | acessibilidade_rodoviaria_estimada_rotas_base_externa,16,componente_transversal,alta,OpenStreetMap sustenta as camadas preliminares identificadas no mapa de fontes.
65,Cartografia de base e bibliotecas,https://www.arcgis.com/home/item.html?id=10df2279f9684e4a9f6a7f08febac2a9,dados_usuario,dados_usuario,1,componente_transversal,contextual,"Mapa-base de apoio visual, sem camada temática própria no catálogo."
66,Cartografia de base e bibliotecas,https://leafletjs.com,indice_cenario_sessao | dados_usuario,indice_cenario_sessao | dados_usuario,2,componente_transversal,contextual,Biblioteca de visualização transversal ao aplicativo.
67,Cartografia de base e bibliotecas,https://esri.github.io/esri-leaflet,assentamentos_rurais_incra | terras_indigenas_poligonos | territorios_quilombolas_poligonos | sitios_arqueologicos_pontos | sitios_arqueologicos_poligonos | unidades_conservacao | cavernas_canie,assentamentos_rurais_incra | terras_indigenas_poligonos | territorios_quilombolas_poligonos | sitios_arqueologicos_pontos | sitios_arqueologicos_poligonos | unidades_conservacao | cavernas_canie,7,componente_transversal,alta,
68,Cartografia de base e bibliotecas,https://stuk.github.io/jszip,dados_usuario,dados_usuario,1,componente_transversal,alta,Biblioteca usada nos pacotes ZIP de importação e exportação.
69,Cartografia de base e bibliotecas,https://www.papaparse.com,indice_cenario_sessao | dados_usuario,indice_cenario_sessao | dados_usuario,2,componente_transversal,alta,Biblioteca usada na leitura de CSV.
70,Cartografia de base e bibliotecas,https://github.com/calvinmetcalf/shapefile-js,dados_usuario,dados_usuario,1,componente_transversal,alta,Biblioteca usada na importação de Shapefile.
71,Cartografia de base e bibliotecas,https://developers.google.com/maps/documentation/urls/get-started?hl=pt-BR,dados_usuario,dados_usuario,1,componente_transversal,contextual,Integração opcional de visualização externa.
72,Cartografia de base e bibliotecas,https://earth.google.com/web,dados_usuario,dados_usuario,1,componente_transversal,contextual,Visualização externa opcional.
73,Cartografia de base e bibliotecas,https://services.arcgisonline.com/ArcGIS/rest/services,dados_usuario,dados_usuario,1,componente_transversal,contextual,"Mapas-base de apoio visual, sem camada temática própria no catálogo."
74,Cartografia de base e bibliotecas,https://developers.google.com/maps/documentation/javascript/overview,dados_usuario,dados_usuario,1,componente_transversal,contextual,Integração opcional de visualização externa.
75,Patrimônio material e equipamentos culturais,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados,patrimonio_material_tombado,patrimonio_material_tombado,1,coincidencia_url + regra_explicita,alta,
76,Patrimônio material e equipamentos culturais,https://portal.iphan.gov.br/pagina/detalhes/626,patrimonio_material_tombado,patrimonio_material_tombado,1,regra_explicita,alta,
77,Patrimônio material e equipamentos culturais,https://cadastro.museus.gov.br,museus_pontos_memoria,museus_pontos_memoria,1,coincidencia_url + regra_explicita,alta,
78,Patrimônio material e equipamentos culturais,https://dados.cultura.gov.br/dataset/mapa-da-cultura,espacos_culturais | artesanato_producao_tradicional,espacos_culturais | artesanato_producao_tradicional,2,coincidencia_url + regra_explicita,alta,
79,Natureza protegida e cavernas,https://www.gov.br/icmbio/pt-br/dados-icmbio/dados_geoespaciais,unidades_conservacao | parque_nacional_serra_bodoquena | cavernas_canie,unidades_conservacao | parque_nacional_serra_bodoquena | cavernas_canie,3,regra_explicita,alta,
80,Natureza protegida e cavernas,https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_unidades_conserva%C3%A7%C3%A3o_mma_a/FeatureServer/0,unidades_conservacao | parque_nacional_serra_bodoquena,unidades_conservacao | parque_nacional_serra_bodoquena,2,coincidencia_url + regra_explicita,alta,
81,Natureza protegida e cavernas,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie,cavernas_canie,cavernas_canie,1,coincidencia_url + regra_explicita,alta,
82,Turismo e economia cultural,https://dados.turismo.gov.br/dataset/?tags=Cadastur,cadastur_hospedagem | cadastur_agencias_guias,cadastur_hospedagem | cadastur_agencias_guias,2,regra_explicita,alta,
83,Turismo e economia cultural,https://www.gov.br/conecta/catalogo/apis/cadastur-cadastro-de-prestadores-de-servicos-turisticos/swagger.json/swagger_view,cadastur_hospedagem | cadastur_agencias_guias,cadastur_hospedagem | cadastur_agencias_guias,2,regra_explicita,alta,
84,Turismo e economia cultural,https://www.turismo.ms.gov.br/tourist-information,centros_atendimento_turista,centros_atendimento_turista,1,regra_explicita,alta,
85,Mobilidade multimodal,https://geo.infrasa.gov.br/server/rest/services/Ferrovias_Concedidas_em_opera%C3%A7%C3%A3o/FeatureServer,ferrovias_operacao,ferrovias_operacao,1,regra_explicita,alta,
86,Mobilidade multimodal,https://geo.infrasa.gov.br/server/rest/services/Terminais_Portu%C3%A1rias/FeatureServer,terminais_ferroviarios | instalacoes_portuarias,terminais_ferroviarios | instalacoes_portuarias,2,regra_explicita,alta,
87,Mobilidade multimodal,https://geo.infrasa.gov.br/server/rest/services/Aeroportos/FeatureServer,aeroportos_aerodromos,aeroportos_aerodromos,1,regra_explicita,alta,
88,Mobilidade multimodal,https://www.gov.br/dnit/pt-br/acesso-a-informacao/dados-abertos/conjuntos-de-dados,condicao_pavimento,condicao_pavimento,1,coincidencia_url + regra_explicita,alta,
89,Mobilidade multimodal,https://geoportal.infrasa.gov.br/ontl,ferrovias_operacao | terminais_ferroviarios | instalacoes_portuarias | aeroportos_aerodromos | terminais_rodoviarios_fronteiras | concessoes_rodoviarias,ferrovias_operacao | terminais_ferroviarios | instalacoes_portuarias | aeroportos_aerodromos | terminais_rodoviarios_fronteiras | concessoes_rodoviarias,6,coincidencia_url + regra_explicita,alta,
90,Paisagem e produção tradicional,https://brasil.mapbiomas.org/colecoes-mapbiomas,uso_cobertura_solo | mapa_mudancas_uso_solo,uso_cobertura_solo | mapa_mudancas_uso_solo,2,regra_explicita,alta,
91,Paisagem e produção tradicional,https://brasil.mapbiomas.org/downloads,uso_cobertura_solo | mapa_mudancas_uso_solo,uso_cobertura_solo | mapa_mudancas_uso_solo,2,regra_explicita,alta,
92,"Apoio, segurança e saúde",https://datasus.saude.gov.br/cnes-estabelecimentos,unidades_saude,unidades_saude,1,coincidencia_url + regra_explicita,alta,
93,"Apoio, segurança e saúde",https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/fd8600de8a55c7fc04256b210079ce25/5e7ddd6a7dc5185f04258b3300417537,bombeiros_seguranca,bombeiros_seguranca,1,regra_explicita,alta,
94,"Apoio, segurança e saúde",https://www.pc.ms.gov.br,bombeiros_seguranca,bombeiros_seguranca,1,regra_explicita,alta,
95,Metodologia analítica do projeto,,indice_exploratorio_disponibilidade_territorial,indice_exploratorio_disponibilidade_territorial,1,regra_explicita,alta,
96,Educação superior e pesquisa,https://emec.mec.gov.br,campus_ensino_superior,campus_ensino_superior,1,coincidencia_url + regra_explicita,alta,
97,Educação superior e pesquisa,https://www.ufms.br/universidade/campus-ufms,campus_ensino_superior,campus_ensino_superior,1,regra_explicita,alta,
98,Educação superior e pesquisa,https://www.uems.br/cidades,campus_ensino_superior,campus_ensino_superior,1,regra_explicita,alta,
99,Educação superior e pesquisa,https://www.ufgd.edu.br,campus_ensino_superior,campus_ensino_superior,1,regra_explicita,alta,
100,Educação superior e pesquisa,https://www.ifms.edu.br/campi,campus_ensino_superior,campus_ensino_superior,1,regra_explicita,alta,
101,Museus e memória,https://cadastro.museus.gov.br/uf-endereco/ms,museus_pontos_memoria,museus_pontos_memoria,1,regra_explicita,alta,
102,Museus e memória,https://www.gov.br/museus/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/cadastro-nacional-de-museus,museus_pontos_memoria,museus_pontos_memoria,1,regra_explicita,alta,
103,Museus e memória,https://cadastro.museus.gov.br/manual-de-uso-da-plataforma-museusbr,museus_pontos_memoria,museus_pontos_memoria,1,regra_explicita,alta,
104,Bibliotecas e arquivos,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/pnld-bibliotecas/pnld-mato-grosso-do-sul,bibliotecas_arquivos,bibliotecas_arquivos,1,coincidencia_url + regra_explicita,alta,
105,Bibliotecas e arquivos,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/teste01/sistemas-estaduais-1/sistema-estadual-de-bibliotecas-de-mato-grosso-do-sul,bibliotecas_arquivos,bibliotecas_arquivos,1,regra_explicita,alta,
106,Mobilidade rodoviária,https://www.agems.ms.gov.br/informativo/transporte-rodoviario-intermunicipal,terminais_rodoviarios,terminais_rodoviarios,1,coincidencia_url + regra_explicita,alta,
107,Turismo e atendimento,https://www.turismo.ms.gov.br/informacoes-turisticas,centros_atendimento_turista,centros_atendimento_turista,1,coincidencia_url + regra_explicita,alta,
108,Conectividade,https://dados.gov.br/dados/conjuntos-dados/cobertura_movel,cobertura_telefonia_movel,cobertura_telefonia_movel,1,coincidencia_url + regra_explicita,alta,
