municipio,codigo_ibge,indice_disponibilidade,classe_disponibilidade,diversidade_camadas,registros_ponderados,populacao_2025,contagens_por_camada,pesos_por_camada,formula,unidade_analise,versao_metodo,data_calculo,natureza_indicador,rank_base,rank_p05_sensibilidade,rank_mediano_sensibilidade,rank_p95_sensibilidade,estabilidade_classe_pct,analise_sensibilidade,limitacao
Inocência,5004403,3.15,Disponibilidade documental emergente,0,0.0,8764,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,67,67,67.0,67,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Japorã,5004809,27.74,Disponibilidade documental muito alta,1,24.0,8441,"{""localidades_indigenas"": 16}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,17,16,17.0,18,77.4,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Jaraguari,5004908,14.4,Disponibilidade documental média,3,9.5,7480,"{""festividades"": 2, ""localidades_indigenas"": 1, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,27,26,27.0,30,74.6,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Jateí,5005103,2.84,Base local insuficiente,0,0.0,3596,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,79,79,79.0,79,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Juti,5005152,8.18,Disponibilidade documental média,1,4.5,7067,"{""localidades_indigenas"": 3}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,36,34,36.0,37,54.6,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Laguna Carapã,5005251,20.18,Disponibilidade documental alta,1,16.5,7037,"{""localidades_indigenas"": 11}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,21,20,21.0,22,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Novo Horizonte do Sul,5006259,2.95,Base local insuficiente,0,0.0,4801,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,76,76,76.0,76,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Paraíso das Águas,5006275,3.01,Disponibilidade documental emergente,0,0.0,5842,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,73,73,73.0,73,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Pedro Gomes,5006408,5.67,Disponibilidade documental emergente,1,2.0,6910,"{""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,40,40,40.0,44,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Rio Negro,5007307,8.65,Disponibilidade documental média,2,4.5,4921,"{""geossitios_decreto"": 1, ""localidades_quilombolas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,35,34,35.0,36,96.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Rochedo,5007505,2.99,Base local insuficiente,0,0.0,5451,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,74,74,74.0,74,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Santa Rita do Pardo,5007554,3.08,Disponibilidade documental emergente,0,0.0,7165,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,71,71,71.0,71,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Selvíria,5007802,3.15,Disponibilidade documental emergente,0,0.0,8716,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,68,68,68.0,68,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Taquarussu,5007976,2.86,Base local insuficiente,0,0.0,3740,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,78,78,78.0,78,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Vicentina,5008404,3.05,Disponibilidade documental emergente,0,0.0,6505,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,72,72,72.0,72,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Angélica,5000856,3.24,Disponibilidade documental emergente,0,0.0,11308,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,64,64,64.0,64,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Aral Moreira,5001243,18.84,Disponibilidade documental alta,1,15.0,11125,"{""localidades_indigenas"": 10}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,23,22,23.0,23,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Batayporã,5002001,3.23,Disponibilidade documental emergente,0,0.0,10947,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,65,65,65.0,65,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Brasilândia,5002308,6.86,Disponibilidade documental emergente,1,3.0,11833,"{""localidades_indigenas"": 2}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,38,38,38.0,38,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Camapuã,5002605,3.32,Disponibilidade documental emergente,0,0.0,13928,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,63,63,63.0,63,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Coronel Sapucaia,5003157,38.43,Disponibilidade documental muito alta,1,34.5,14685,"{""localidades_indigenas"": 23}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,14,14,14.0,15,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Deodápolis,5003454,3.32,Disponibilidade documental emergente,0,0.0,14317,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,62,62,62.0,62,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Dois Irmãos do Buriti,5003488,42.85,Disponibilidade documental muito alta,1,39.0,11521,"{""localidades_indigenas"": 26}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,12,12,12.0,13,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Eldorado,5003751,5.35,Disponibilidade documental emergente,1,1.5,11622,"{""localidades_indigenas"": 1}","{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,44,41,44.0,44,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
Glória de Dourados,5004007,3.23,Disponibilidade documental emergente,0,0.0,10817,{},"{""patrimonio_imaterial"": 4.0, ""festividades"": 3.0, ""geossitios_decreto"": 2.5, ""geossit"": 3.0, ""localidades_indigenas"": 1.5, ""localidades_quilombolas"": 2.0, ""fronteira"": 1.5, ""retirada_laguna"": 2.0}","I = soma(n_k × peso_k) + 0,6D + min(5; 0,8 log10(P))",Município representado pela sede municipal,v1.6.0,2026-08-06,Disponibilidade documental e territorial independente das hipóteses de rota; não mede potencial turístico,66,66,66.0,66,100.0,"500 simulações com variação independente de ±20% nos pesos, semente 20260806","Não normalizado por área municipal. Exclui rotas e produtos derivados para evitar circularidade. Não substitui validação comunitária, campo, capacidade de carga ou viabilidade"
