ordem,id_camada,camada,grupo,fonte_primaria,url_servico,fonte_documental,url_download,licenca_ou_termos,nivel_validacao,data_corte,versao
37,patrimonio_material_tombado,Bens materiais tombados pelo IPHAN — base oficial,cultura,"IPHAN. Planilha oficial de bens tombados e em processo de tombamento, edição de maio de 2026. Geometria exata preservada quando presente; na ausência, usa sede municipal representativa.",https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados,https://www.gov.br/iphan/pt-br/patrimonio-cultural/patrimonio-material/bens-tombados/2026_05_iphan_t.xlsx,Conteúdo institucional sob CC BY-ND 3.0 conforme portal gov.br; compilação espacial e metadados autorais sob CC BY 4.0.,oficial na fonte; posicionamento municipal derivado quando necessário,2026-08-06,v1.6.0
38,patrimonio_estadual_estacoes_ferroviarias,Referências cartográficas preliminares — Patrimônio estadual e estações ferroviárias inventariadas,cultura,"Fundação de Cultura de Mato Grosso do Sul, guias e inventários patrimoniais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.fundacaodecultura.ms.gov.br/informativos/guias-e-manuais/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
39,museus_pontos_memoria,Museus e pontos de memória — MuseusBr/IBRAM,cultura,"IBRAM. Cadastro Nacional de Museus na Plataforma MuseusBr, coleção pública Tainacan. O atlas retém somente campos institucionais necessários e não reproduz contatos pessoais.",https://cadastro.museus.gov.br/wp-json/tainacan/v2/collection/208/items/,https://cadastro.museus.gov.br/,https://cadastro.museus.gov.br/instrumentos-de-documentacao/tainacan/,Dados abertos MuseusBr; preservar atribuição ao IBRAM e o status de verificação de cada registro.,cadastro oficial ou colaborativo conforme status declarado na fonte,2026-08-06,v1.6.0
40,bibliotecas_arquivos,"Referências cartográficas preliminares — Bibliotecas públicas, comunitárias e arquivos",cultura,Captura espacial OpenStreetMap. Validação pelo SNBP e Sistema Estadual de Bibliotecas de MS Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.gov.br/cultura/pt-br/assuntos/sistema-nacional-de-bibliotecas-publicas-snbp/pnld-bibliotecas/pnld-mato-grosso-do-sul,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
41,espacos_culturais,"Referências cartográficas preliminares — Centros culturais, teatros e outros espaços culturais",cultura,Mapa da Cultura e Mapa Cultural de Mato Grosso do Sul Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://dados.cultura.gov.br/dataset/mapa-da-cultura,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
42,unidades_conservacao,Unidades de conservação — CNUC,ambiente,"CNUC/MMA. Captura oficial por WFS do ICMBio/INDE, com recorte espacial de Mato Grosso do Sul e espelho PAMGIA como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,https://dados.mma.gov.br/dataset/44b6dc8a-dc82-4a84-8d95-1b0da7c85dac/resource/b1f7a269-a0b2-4a81-9ac5-108905e74a00,"Creative Commons Atribuição no recurso CNUC. Preservar atribuição, metadados e termos da fonte.",oficial na fonte; recorte técnico do atlas,2026-08-06,v1.6.0
43,parque_nacional_serra_bodoquena,Parque Nacional da Serra da Bodoquena,ambiente,"CNUC, MMA, ICMBio e PAMGIA IBAMA. Recorte filtrado da unidade federal",https://pamgia.ibama.gov.br/server/rest/services/BasesSincronizadas/lim_unidades_conserva%C3%A7%C3%A3o_mma_a/FeatureServer/0,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/cerrado/lista-de-ucs/parna-da-serra-da-bodoquena,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
44,mapa_bacias_uepgrh,"Bacias, sub-bacias e unidades de planejamento hídrico",ambiente,SEMADESC e PIN MS. Sub-bacias do Paraguai e Paraná e UEPGRH,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer/79,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
45,mapa_disponibilidade_hidrica,Disponibilidade hídrica superficial e água disponível no solo,ambiente,SEMADESC e PIN MS. Disponibilidade hídrica superficial e água disponível no solo,https://www.pinms.ms.gov.br/arcgis/rest/services/SEMADESC/SEMADESC_MAPAS/MapServer,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
46,mapa_qualidade_agua_ana,Qualidade da água e estações de monitoramento,ambiente,ANA. Rede Nacional de Monitoramento da Qualidade da Água,https://qualidadedaagua.ana.gov.br/,https://www.gov.br/ana/pt-br/assuntos/monitoramento-e-eventos-criticos/qualidade-da-agua,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
47,mapa_focos_calor_risco,"Focos de calor, áreas queimadas e risco de fogo",ambiente,IBAMA PAMGIA e INPE Programa Queimadas. Focos atualizados e acesso a risco e áreas queimadas,https://pamgia.ibama.gov.br/server/rest/services/DDA/focos_calor_dda/MapServer,https://data.inpe.br/queimadas/painel-do-fogo/,https://data.inpe.br/queimadas/dados-abertos/,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
48,mapa_climatico_ms,"Mapa climático, precipitação e temperatura",ambiente,"CEMTEC MS e INMET. Estações, séries meteorológicas e produtos climáticos",https://www.cemtec.ms.gov.br/bancodedados/,https://portal.inmet.gov.br/,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
49,cavernas_canie,Cavidades naturais subterrâneas — CANIE/CECAV,ambiente,"CANIE/CECAV/ICMBio. Captura oficial por WFS do ICMBio/INDE, com recorte de Mato Grosso do Sul e espelho Infra S.A. como contingência.",https://geoservicos.inde.gov.br/geoserver/ICMBio/ows?service=wfs&version=2.0.0&request=GetCapabilities,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/canie/,https://www.gov.br/icmbio/pt-br/assuntos/centros-de-pesquisa/cavernas/cadastro-nacional-de-informacoes-espeleologicas/cav_canie_geral_19122022.zip/view,"Reutilização permitida com citação da fonte CANIE, conforme instruções do CECAV. Preservar limitações e metadados.",nível de validação preservado quando disponível na fonte,2026-08-06,v1.6.0
50,barragens_snisb,Barragens cadastradas no SNISB — consulta oficial,ambiente,"ANA, Sistema Nacional de Informações sobre Segurança de Barragens",https://www.snisb.gov.br/consultar-barragem/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,oficial na fonte,2026-08-06,v1.6.0
51,centros_visitantes_trilhas,"Referências cartográficas preliminares — Centros de visitantes, trilhas e acessos autorizados",ambiente,"ICMBio, IMASUL e planos de manejo Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.gov.br/icmbio/pt-br/dados-icmbio/dados_geoespaciais,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
52,pantanal_monitoramento_fogo,Monitoramento de focos de calor no Pantanal,ambiente,IBAMA. Serviço histórico de focos no Pantanal e referência ao Pantanal em Alerta,https://pamgia.ibama.gov.br/server/rest/services/Focos_Pantanal_Historico_MIL1/MapServer,https://www.gov.br/ibama/pt-br/assuntos/noticias/2024/ibama-lanca-plataforma-pantanal-em-alerta,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
53,cadastur_hospedagem,Cadastur oficial — meios de hospedagem por município,turismo,"Ministério do Turismo. Cadastur, conjunto de meios de hospedagem. Os registros são agregados por município para evitar exposição desnecessária de dados cadastrais individuais.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/meios-de-hospedagem,,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",oficial na fonte; síntese municipal derivada pelo atlas,2026-08-06,v1.6.0
54,cadastur_agencias_guias,"Cadastur oficial — agências, guias e transportadoras por município",turismo,"Ministério do Turismo. Cadastur, agências, guias e transportadoras. Dados agregados por município e categoria; nomes, CPF, telefone, e-mail e endereços individuais não são publicados pelo atlas.",https://dados.turismo.gov.br/api/3/action/package_search?q=Cadastur&rows=100,https://dados.turismo.gov.br/pt_BR/dataset/?tags=Cadastur,,"Open Database License, ODbL, conforme catálogo do Ministério do Turismo.",oficial na fonte; síntese municipal derivada pelo atlas,2026-08-06,v1.6.0
55,centros_atendimento_turista,Referências cartográficas preliminares — Centros de atendimento ao turista,turismo,Captura espacial OpenStreetMap. Validação pela Fundtur MS e órgãos municipais Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.turismo.ms.gov.br/informacoes-turisticas/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
56,turismo_rural_comunitario,"Referências cartográficas preliminares — Turismo rural, comunitário e propriedades de visitação",turismo,"Fundtur MS, Cadastur e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://www.turismo.ms.gov.br/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
57,regioes_municipios_turisticos,Regiões e municípios do Mapa do Turismo Brasileiro,turismo,"Ministério do Turismo, Programa de Regionalização do Turismo",https://www.gov.br/turismo/pt-br/acesso-a-informacao/acoes-e-programas/programas-projetos-acoes-obras-e-atividades/programa-de-regionalizacao-do-turismo-2/mapa-do-turismo-brasileiro/mapa-do-turismo-brasileiro,https://dados.turismo.gov.br/pt_BR/dataset/mapa-do-turismo-brasileiro,,ODbL conforme catálogo de dados abertos do Ministério do Turismo,documental,2026-08-06,v1.6.0
58,ferrovias_operacao,Ferrovias concedidas em operação,mobilidade,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Ferrovias_Concedidas_em_opera%C3%A7%C3%A3o/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
59,terminais_ferroviarios,Terminais e pátios ferroviários,mobilidade,Infra S.A. e ANTT,https://geo.infrasa.gov.br/server/rest/services/Hosted/Terminal_Ferrovi%C3%A1rio/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
60,instalacoes_portuarias,"Portos, terminais e instalações portuárias",mobilidade,ANTAQ e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Terminais_Portu%C3%A1rias/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
61,hidrovia_paraguai_ven_antaq,Hidrovia do Paraguai e vias economicamente navegadas — ANTAQ,mobilidade,"ANTAQ. Vias Interiores Economicamente Navegadas, VEN 2022, com recorte espacial de Mato Grosso do Sul. Deve ser distinguida do projeto de concessão de 600 km da Hidrovia do Rio Paraguai.",https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,https://www.gov.br/antaq/pt-br/central-de-conteudos/informacoes-geograficas,https://www.gov.br/antaq/pt-br/central-de-conteudos/SHP_VEN2022completo.zip,Conteúdo ANTAQ sob CC BY-ND 3.0 conforme portal; preservar atribuição e integridade da fonte.,oficial na fonte; recorte espacial técnico do atlas,2026-08-06,v1.6.0
62,aeroportos_aerodromos,Aeroportos e aeródromos,mobilidade,ANAC e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Aeroportos/FeatureServer/0,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
63,terminais_rodoviarios,Referências cartográficas preliminares — Estações e terminais rodoviários municipais,mobilidade,Captura espacial OpenStreetMap. Validação operacional pela AGEMS e municípios Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.,https://www.agems.ms.gov.br/informativo/transporte-rodoviario-intermunicipal/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
64,terminais_rodoviarios_fronteiras,"Referências cartográficas preliminares — Pontes, passagens e pontos de fronteira",mobilidade,"Infra S.A., DNIT e inventários municipais Geometria capturada no OpenStreetMap e sujeita a validação institucional. Os resultados são pontos representativos do OpenStreetMap e não equivalem ao cadastro institucional.",https://geoportal.infrasa.gov.br/ontl/,,,ODbL 1.0 para a geometria OSM; validar termos das fontes institucionais,exploratória,2026-08-06,v1.6.0
65,condicao_pavimento,"Condição do pavimento, obras e interrupções",mobilidade,DNIT Dados Abertos,https://www.gov.br/dnit/pt-br/acesso-a-informacao/dados-abertos/conjuntos-de-dados,,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
66,concessoes_rodoviarias,Concessões rodoviárias e operação,mobilidade,ANTT e Infra S.A.,https://geo.infrasa.gov.br/server/rest/services/Hosted/Concess%C3%B5es_Rodovi%C3%A1rias/FeatureServer/35,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
67,mapa_solos_ms,Mapa de solos de Mato Grosso do Sul 1:250.000,paisagem,IMASUL e PIN MS. Solos de Mato Grosso do Sul na escala 1:250.000,https://www.pinms.ms.gov.br/arcgis/rest/services/IMASUL/SiriemaGeo_Sisla/MapServer/42,,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
68,mapa_fragilidade_ambiental_zae,Mapa de fragilidade ambiental,paisagem,SEMADESC e Embrapa Solos. Produto do Zoneamento Agroecológico de Mato Grosso do Sul,https://www.semadesc.ms.gov.br/programas-e-projetos/zae-ms/,https://www.semadesc.ms.gov.br/mato-grosso-do-sul-ganha-o-maior-raio-x-de-solos-do-brasil-com-estudo-da-embrapa/,,Consultar licença ou termos da instituição responsável,documental,2026-08-06,v1.6.0
69,mapa_vegetacao_original_radam,Mapa de vegetação original RADAM,paisagem,PIN MS e IBGE. Mapeamento estadual de vegetação RADAM,https://www.pinms.ms.gov.br/arcgis/rest/services/SGI/Vegetacao_RADAM_MS/MapServer,https://bdiaweb.ibge.gov.br/,,Consultar licença ou termos da instituição responsável,oficial na fonte,2026-08-06,v1.6.0
70,uso_cobertura_solo,MapBiomas 10.1 — cobertura e uso da terra por município,paisagem,"MapBiomas Brasil. Estatísticas municipais da Coleção 10.1, 1985–2024, atualizadas em 19 de fevereiro de 2026. O atlas resume classes selecionadas por município.",https://drive.usercontent.google.com/download?id=1p0dLrhvKymPhrSithsRBMRgHlFHq0FUf&export=download,https://brasil.mapbiomas.org/estatisticas/,https://drive.google.com/uc?export=download&id=1p0dLrhvKymPhrSithsRBMRgHlFHq0FUf,Termos de uso MapBiomas e citação obrigatória da Coleção 10.1 e de seu DOI.,produto MapBiomas; síntese municipal derivada e reproduzível,2026-08-06,v1.6.0
71,mapa_mudancas_uso_solo,MapBiomas 10.1 — desmatamento e vegetação secundária,paisagem,"MapBiomas Brasil. Estatísticas de desmatamento da Coleção 10.1, 1987–2024, atualização de 8 de maio de 2026. O nível territorial disponível na planilha é preservado nos atributos.",https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/05/MAPBIOMAS_BRAZIL_COL.10.1_DEFORESTATION.xlsx,https://brasil.mapbiomas.org/estatisticas/,https://brasil.mapbiomas.org/wp-content/uploads/sites/4/2026/05/MAPBIOMAS_BRAZIL_COL.10.1_DEFORESTATION.xlsx,Termos de uso MapBiomas e citação obrigatória da Coleção 10.1.,produto MapBiomas; representação pontual derivada para consulta,2026-08-06,v1.6.0
